t0	t1	VALUE	ID_participant	ID_partner	ID_dyad	IP_ID	clarity	speech_clean	word_count
710	1100	ja	0510_1700_A	0510_1700_B	0510_1700_AB	0510_1700_A_0510_1700_B_710_1100	ok		0
1290	2240	ja sorry wat was uw naam	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_1290_2240	ok	 sorry    naam	3
2380	3150	mijn naam is CIndy	0510_1700_A	0510_1700_B	0510_1700_AB	0510_1700_A_0510_1700_B_2380_3150	ok	 naam  CIndy	3
3230	3980	Cindy	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_3230_3980	ok	Cindy	1
4090	5190	ah en euhm	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_4090_5190	ok	  	1
5320	6360	wat wat is uw moedertaal	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_5320_6360	ok	    moedertaal	2
6535	8395	mijn moedertaal is Nederlands	0510_1700_A	0510_1700_B	0510_1700_AB	0510_1700_A_0510_1700_B_6535_8395	ok	 moedertaal  Nederlands	3
8440	9590	ah ok	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_8440_9590	ok	 	1
9560	9790	ja	0510_1700_A	0510_1700_B	0510_1700_AB	0510_1700_A_0510_1700_B_9560_9790	ok		0
9798	10998	ah helemaal geen idee	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_9798_10998	ok	 helemaal  idee	3
11035	13255	euhm een een raar accent had ik euhm	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_11035_13255	ok	raar accent   	2
13320	13670	ja	0510_1700_A	0510_1700_B	0510_1700_AB	0510_1700_A_0510_1700_B_13320_13670	ok		0
13690	14350	zeg jij	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_13690_14350	ok	zeg 	1
14390	17330	van euhm zeg maar komt jij uit Nederland nou of komt jij hier uit België	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_14390_17330	ok	 zeg  komt   Nederland   komt  hier  België	7
17385	18675	ik kom uit België	0510_1700_A	0510_1700_B	0510_1700_AB	0510_1700_A_0510_1700_B_17385_18675	ok	 kom  België	3
18725	20065	uit euhm Houthalen	0510_1700_A	0510_1700_B	0510_1700_AB	0510_1700_A_0510_1700_B_18725_20065	ok	 Houthalen	2
20110	22090	ah waar is ah ja ik heb geen idee waar dat ligt	0510_1700_B	0510_1700_A	0510_1700_AB	0510_1700_B_0510_1700_A_20110_22090	ok	 waar       idee waar  ligt	5
21590	22080	@	0510_1700_A	0510_1700_B	0510_1700_AB	0510_1700_A_0510_1700_B_21590_22080	unclear		0
