ID_participant	ID_partner	ID_group	ID_dyad	ID_gesture	t0	t1	size.rh	size.lh	size	traj.rh	traj.lh	traj	ampl_y.rh	ampl_y.lh	ampl_y	ampl_x.rh	ampl_x.lh	ampl_x	peak_velo.rh	peak_velo.lh	peak_velo	apex.rh	apex.lh	hand	nonref	icon	metaph	deixis	conv	phrase_position	phrase_ID	label_participant	label_partner	condition
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_1	22817	23579	0.018	0.011	0.018	0.357	0.319	0.357	-0.017	-0.052	-0.052	0.28	0.177	0.28	0.631	0.423	0.631	11660	23560	both	yes	no	no	no	no	no	phrase_1	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_10	88972	91495	0.336	0.347	0.347	2.127	2.169	2.169	0.256	0.224	0.256	0.381	0.9	0.9	1.649	1.951	1.951	89620	90240	both	no	no	no	abstract	no	no	phrase_10	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_11	95541	96963	0.085	0.084	0.085	0.883	0.939	0.939	0.162	0.098	0.162	0.387	0.379	0.387	1.261	1.656	1.656	95920	96040	both	no	no	no	concrete	no	no	phrase_11	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_12	97542	99183	0.292	0.428	0.428	2.251	2.521	2.521	0.498	0.604	0.604	0.572	0.628	0.628	2.893	2.867	2.893	98040	98180	both	no	no	yes	no	no	no	phrase_12	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_13	122778	123815	0.003	0.056	0.003	0.338	0.82	0.338	-0.13	-0.007	-0.13	0.216	0.383	0.216	0.334	1.236	0.334	112100	123400	right	no	no	yes	no	no	no	phrase_13	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_14	129128	130568	0.17	0.164	0.17	1.597	1.302	1.597	0.239	0.193	0.239	0.572	0.498	0.572	2.091	1.981	2.091	129740	129560	both	no	no	yes	no	no	no	phrase_14	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_15	161790	162734	0.155	0.136	0.155	1.203	1.185	1.203	0.227	0.221	0.227	0.537	0.419	0.537	1.682	1.898	1.898	162100	162220	both	no	no	yes	no	no	no	phrase_15	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_16	186613	188044	0.086	0.101	0.101	1.122	1.152	1.152	0.126	0.08	0.126	0.458	0.433	0.458	0.959	1.559	1.559	187220	187220	both	no	no	yes	no	no	no	phrase_16	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_17	227044	227784	0.004	0.066	0.066	0.289	0.911	0.911	-0.128	0.016	0.016	0.238	0.38	0.38	0.34	1.496	1.496	227280	227480	left	no	no	yes	no	no	no	phrase_17	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_18	230707	231530	0.005	0.015	0.015	0.321	0.506	0.506	-0.082	-0.089	-0.089	0.232	0.203	0.203	0.357	0.835	0.835	231520	231520	left	yes	no	no	no	no	no	phrase_18	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_19	252668	253922	0.043	0.02	0.043	0.719	0.479	0.719	-0.009	0.011	0.011	0.494	0.216	0.494	1.015	0.755	1.015	164480	253900	both	no	no	yes	no	no	no	phrase_19	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_2	23975	25315	0.07	0.063	0.07	1.019	0.857	1.019	0.203	0.093	0.203	0.343	0.297	0.343	1.15	1.291	1.291	24380	24380	both	no	no	yes	no	no	no	phrase_2	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_20	258348	259287	0.109	0.052	0.109	0.994	0.745	0.994	0.161	0.006	0.161	0.548	0.385	0.548	1.283	1.021	1.283	258660	259060	both	no	no	yes	no	no	no	phrase_20	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_21	264977	266313	0.13	0.087	0.13	1.184	0.894	1.184	0.211	0.031	0.211	0.554	0.428	0.554	1.404	1.308	1.404	265620	265140	both	no	no	yes	no	no	first	phrase_21	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_22	266313	267226	0.113	0.02	0.113	1.193	0.552	1.193	-0.003	-0.106	-0.106	0.759	0.234	0.759	1.395	0.475	1.395	266740	266680	both	no	no	yes	abstract	no	last	phrase_21	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_3	48758	50027	0.117	0.083	0.117	0.746	0.489	0.746	0.168	0.066	0.168	0.548	0.404	0.548	1.745	1.408	1.745	48960	49100	both	no	no	yes	no	no	no	phrase_3	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_4	52990	53596	0.001	0.003	0.003	0.15	0.183	0.183	-0.123	-0.161	-0.161	0.216	0.143	0.143	0.31	0.394	0.394	53280	53280	left	yes	no	no	no	no	no	phrase_4	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_5	55357	56889	0.308	0.168	0.308	2.911	1.696	2.911	0.707	0.242	0.707	0.575	0.494	0.575	2.57	2.143	2.57	55360	55580	both	no	no	yes	no	no	no	phrase_5	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_6	63348	64844	0.178	0.255	0.255	2.02	2.043	2.043	0.286	0.299	0.299	0.596	0.606	0.606	1.491	1.832	1.832	63800	63860	both	no	no	yes	no	no	no	phrase_6	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_7	65311	66743	0.117	0.162	0.162	1.219	1.425	1.425	0.12	0.194	0.194	0.625	0.52	0.625	1.491	1.748	1.748	65660	65740	both	no	no	yes	no	no	no	phrase_7	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_8	68211	69733	0.292	0.218	0.292	1.767	1.373	1.767	0.205	0.217	0.217	0.959	0.562	0.959	2.149	2.264	2.264	68720	68740	both	no	no	no	abstract	no	no	phrase_8	L1	L2	L1-L2
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	sem_9	70073	71431	0.666	0.284	0.666	3.056	2.185	3.056	1.08	0.132	1.08	0.765	0.795	0.795	1.964	2.431	2.431	92500	70740	both	no	no	yes	no	no	no	phrase_9	L1	L2	L1-L2
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_1	71387	73367	0.28	0.088	0.28	1.945	1.013	1.945	0.154	0.009	0.154	0.739	0.234	0.739	1.602	0.561	1.602	71720	35740	both	no	no	yes	abstract	no	no	phrase_1	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_10	177279	177848	0.098	0.159	0.159	1.277	1.227	1.277	0.215	0.191	0.215	0.677	0.499	0.677	1.472	1.353	1.472	177700	126520	both	no	no	yes	no	no	first	phrase_9	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_11	178000	178656	0.081	0.102	0.102	1.074	0.847	1.074	0.228	0.163	0.228	0.627	0.379	0.627	1.368	0.907	1.368	178060	178000	both	no	no	yes	no	no	middle	phrase_9	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_12	178936	180377	0.123	0.189	0.189	1.368	1.692	1.692	0.291	0.234	0.291	0.666	0.641	0.666	1.702	2.612	2.612	179220	179260	both	no	no	yes	no	no	last	phrase_9	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_13	184412	185738	0.13	0.121	0.13	1.271	1.196	1.271	0.241	0.244	0.244	0.684	0.355	0.684	1.203	1.451	1.451	185100	185280	both	yes	no	no	no	no	no	phrase_10	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_14	186488	187447	0.062	0.075	0.075	0.822	0.766	0.822	0.206	0.189	0.206	0.65	0.197	0.65	1.666	0.998	1.666	186740	186840	both	yes	no	no	no	no	no	phrase_11	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_15	239331	240377	0.169	0.012	0.169	1.484	0.468	1.484	0.092	0.001	0.092	0.901	0.262	0.901	1.89	0.651	1.89	239420	211100	both	no	no	yes	no	no	no	phrase_12	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_16	241191	242488	0.26	0.015	0.26	1.693	0.497	1.693	0.204	0.006	0.204	0.954	0.248	0.954	2.266	0.6	2.266	241920	219540	both	no	no	yes	no	no	no	phrase_13	L1	L1	L1-L1
