ID_participant	ID_partner	ID_group	ID_dyad	condition	g_unit_freq	g_phrase_freq	g_phrase_middle	gp_nonref	gp_icon	gp_metaph	gp_deixis_abstr	gp_deixis_conc	gp_conv	g_dur_total_sec	g_units_per_phrase	g_prop_units_middle
0510_1700_A	0510_1700_B	0510_1700	0510_1700_AB	L1-L2	22	21	0	0.14	0	0.73	0.14	0.05	0	27.76	1.05	0
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	L1-L1	22	19	1	0.14	0.05	0.73	0.18	0	0	32.529	1.16	0.05
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	L2-L1	37	29	4	0.22	0.11	0.43	0.27	0.05	0	35.215	1.28	0.11
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	L2-L1	62	36	18	0.23	0.03	0.66	0.27	0.02	0	87.257	1.72	0.29
0510_1700_C	0510_1700_A	0510_1700	0510_1700_CA	L1-L1	21	15	3	0.14	0	0.81	0.14	0	0.05	32.639	1.4	0.14
0510_1700_C	0510_1700_B	0510_1700	0510_1700_CB	L1-L2	37	15	13	0.11	0	0.84	0.14	0.05	0	65.777	2.47	0.35
0510_1830_A	0510_1830_B	0510_1830	0510_1830_AB	L2-L1	64	36	11	0.27	0.03	0.45	0.22	0.16	0	82.684	1.78	0.17
0510_1830_A	0510_1830_C	0510_1830	0510_1830_CA	L2-L1	42	28	7	0.31	0.02	0.38	0.31	0.14	0	67.068	1.5	0.17
0510_1830_B	0510_1830_A	0510_1830	0510_1830_AB	L1-L2	33	23	5	0.36	0	0.39	0.09	0.06	0.09	36.763	1.43	0.15
0510_1830_B	0510_1830_C	0510_1830	0510_1830_CB	L1-L1	33	27	1	0.21	0.03	0.61	0.09	0.09	0.03	44.709	1.22	0.03
0510_1830_C	0510_1830_A	0510_1830	0510_1830_CA	L1-L2	52	34	12	0.44	0.02	0.48	0.13	0	0.02	61.696	1.53	0.23
0510_1830_C	0510_1830_B	0510_1830	0510_1830_CB	L1-L1	14	11	1	0.43	0	0.43	0.14	0.07	0	13.482	1.27	0.07
0510_2000_A	0510_2000_B	0510_2000	0510_2000_AB	L1-L1	23	21	1	0.09	0	0.43	0.3	0.26	0	37.407	1.1	0.04
0510_2000_A	0510_2000_C	0510_2000	0510_2000_CA	L1-L2	12	11	0	0	0.08	0.58	0.25	0.25	0	17.858	1.09	0
