filename	item	gender	language	ID_participant	ID_partner	ID_interaction	condition	g_unit_freq	g_phrase_freq	g_phrase_middle	gp_nonref	gp_icon	gp_metaph	gp_deixis_abstr	gp_deixis_conc	gp_conv	g_dur_total_sec	g_units_per_phrase	g_prop_units_middle
antwerp1a_run1	gym	f	dutch	antwerp1a	antwerp1b	1	L1-L1	1	1	0	0	1	0	0	0	0	1.465	1	0
antwerp1a_run2	lake	f	dutch	antwerp1a	antwerp1b	2	L1-L1	17	2	14	0.24	0.24	0.06	0.53	0	0	25.727	8.5	0.82
antwerp1b_run1	forest	f	dutch	antwerp1b	antwerp1a	1	L1-L1	38	2	34	0.13	0.47	0.16	0.37	0.03	0	45.291	19	0.89
antwerp1b_run2	playground	f	dutch	antwerp1b	antwerp1a	2	L1-L1	33	7	19	0.15	0.48	0.12	0.3	0	0.03	46.842	4.71	0.58
antwerp2a_run1	gym	f	dutch	antwerp2a	antwerp2b	1	L1-L1	0	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA
antwerp2a_run2	lake	f	dutch	antwerp2a	antwerp2b	2	L1-L1	21	7	10	0.1	0.38	0.14	0.57	0	0.05	28.706	3	0.48
antwerp2b_run1	forest	m	dutch	antwerp2b	antwerp2a	1	L1-L1	12	6	3	0.33	0.25	0.17	0.42	0	0	28.723	2	0.25
antwerp2b_run2	playground	m	dutch	antwerp2b	antwerp2a	2	L1-L1	17	3	12	0.41	0.29	0.18	0.06	0.06	0.06	21.894	5.67	0.71
antwerp3a_run1	gym	m	dutch	antwerp3a	antwerp3b	1	L1-L1	10	1	8	0.1	0.9	0	0.8	0	0	12.518	10	0.8
antwerp3a_run2	lake	m	dutch	antwerp3a	antwerp3b	2	L1-L1	31	1	29	0.32	0.42	0.1	0.39	0	0	46.938	31	0.94
antwerp3b_run1	forest	f	dutch	antwerp3b	antwerp3a	1	L1-L1	21	4	13	0.24	0.29	0.19	0.29	0	0.05	49.682	5.25	0.62
antwerp3b_run2	playground	f	dutch	antwerp3b	antwerp3a	2	L1-L1	24	2	20	0.29	0.46	0.08	0.38	0	0.04	45.426	12	0.83
antwerp4a_run1	gym	m	dutch	antwerp4a	antwerp4b	1	L1-L1	6	5	0	0.33	0.5	0.17	0	0	0	6.467	1.2	0
antwerp4a_run2	lake	m	dutch	antwerp4a	antwerp4b	2	L1-L1	15	8	3	0.27	0.4	0.07	0.33	0	0	22.978	1.88	0.2
antwerp4b_run1	forest	m	dutch	antwerp4b	antwerp4a	1	L1-L1	3	2	0	0.33	0.67	0	0.67	0	0	2.744	1.5	0
antwerp4b_run2	playground	m	dutch	antwerp4b	antwerp4a	2	L1-L1	1	1	0	1	0	0	0	0	0	0.527	1	0
antwerp5a_run1	gym	f	dutch	antwerp5a	antwerp5b	1	L1-L1	21	6	12	0.1	0.57	0.29	0.14	0	0	49.54	3.5	0.57
antwerp5a_run2	lake	f	dutch	antwerp5a	antwerp5b	2	L1-L1	31	8	17	0.1	0.61	0.06	0.42	0.03	0	60.292	3.88	0.55
antwerp5b_run1	forest	f	dutch	antwerp5b	antwerp5a	1	L1-L1	28	7	14	0.11	0.5	0.21	0.46	0.14	0	45.261	4	0.5
antwerp5b_run2	playground	f	dutch	antwerp5b	antwerp5a	2	L1-L1	27	4	19	0.19	0.59	0.04	0.3	0.11	0	51.173	6.75	0.7
antwerp6a_run1	gym	m	dutch	antwerp6a	antwerp6b	1	L1-L1	37	9	22	0.03	0.81	0.05	0.35	0	0	60.854	4.11	0.59
antwerp6a_run2	lake	m	dutch	antwerp6a	antwerp6b	2	L1-L1	37	12	17	0.3	0.24	0.05	0.41	0.03	0.03	55.99	3.08	0.46
antwerp6b_run1	forest	m	dutch	antwerp6b	antwerp6a	1	L1-L1	21	12	4	0.33	0.05	0.29	0.38	0	0.05	31.25	1.75	0.19
antwerp6b_run2	playground	m	dutch	antwerp6b	antwerp6a	2	L1-L1	28	7	15	0.07	0.39	0.18	0.5	0.11	0	58.223	4	0.54
leuven11a_run1	gym	f	dutch	leuven11a	leuven11b	1	L1-L2	20	10	3	0.1	0.55	0.05	0.45	0	0	44.892	2	0.15
leuven11a_run2	lake	f	dutch	leuven11a	leuven11b	2	L1-L2	24	12	7	0.38	0.29	0	0.5	0	0	48.311	2	0.29
