meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc7bfa275e2b7bded49c"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":563,""window_innerWidth"":1280,""window_innerHeight"":563,""devicePixelRatio"":1.5}",ID,html.Page,0,1,,form submission,2879.181999904633,1299.0999999046326,1238.434,1288.418,4167.599999904633,4168.400000095367,2023-11-28T14:44:25.284Z,4171.454,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,540222,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,6214.145999904633,4168.699999809265,4154.683,4171.454,10385.599999904633,10386.199999809265,2023-11-28T14:44:31.505Z,10403.83,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6387.869999809265,10386.5,10387.227,10403.83,16791.699999809265,16792.400000095367,2023-11-28T14:44:37.911Z,16802.965,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,20884.134999904632,16792.699999809265,16786.261,16802.965,37687.09999990463,37687.59999990463,2023-11-28T14:44:58.806Z,37700.161,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,19053.638999713898,37688.5,37683.379,37700.161,56753.7999997139,56754.2999997139,2023-11-28T14:45:17.873Z,56764.189,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,"2 eendjes links onderaan ",,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,3984.0109998092667,56754.59999990463,56747.356,56764.189,60748.199999809265,60748.5,2023-11-28T14:45:21.867Z,60763.616,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,43945.23499980927,16792.599999904633,16786.261,16802.965,60748.199999809265,60751.199999809265,2023-11-28T14:45:21.870Z,60763.616,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,54652.884,60751.5,60731.144,60763.616,115416.5,115416.90000009537,2023-11-28T14:46:16.535Z,115422.927,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,8096.073000000004,115417.19999980927,115405.951,115422.927,123519,123519.7999997139,2023-11-28T14:46:24.638Z,123521.857,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,"Man die vist ",,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,6857.8429998092615,123520.09999990463,123504.838,123521.857,130379.69999980927,130380.19999980927,2023-11-28T14:46:31.499Z,130387.275,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,69616.08399980926,60751.40000009537,60731.144,60763.616,130379.69999980927,130380.7999997139,2023-11-28T14:46:31.499Z,130387.275,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,33572.725000000006,130381.19999980927,130370.391,130387.275,163960,163960.59999990463,2023-11-28T14:47:05.079Z,163966.01,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,16041.48999999999,163961.5,163947.29,163966.01,180007.5,180008.2999997139,2023-11-28T14:47:21.120Z,180013.811,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,"Luifel met witte en rode strepen ",,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,2735.5890000953805,180008.5,179997.04,180013.811,182749.40000009537,182749.7999997139,2023-11-28T14:47:23.861Z,182763.37,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,52362.12500009537,130381,130370.391,130387.275,182749.40000009537,182750.09999990463,2023-11-28T14:47:23.861Z,182763.37,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,46288.72999990464,182750.19999980927,182746.711,182763.37,229052.09999990463,229052.2999997139,2023-11-28T14:48:10.164Z,229057.1,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,5930.999999904627,229052.2999997139,229040.317,229057.1,234988.09999990463,234988.59999990463,2023-11-28T14:48:16.103Z,235006.458,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,de kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,4006.8419997138844,234988.90000009537,234989.549,235006.458,239013.2999997139,239013.59999990463,2023-11-28T14:48:20.128Z,239022.401,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,56249.9299997139,182750.09999990463,182746.711,182763.37,239013.2999997139,239013.7999997139,2023-11-28T14:48:20.128Z,239022.401,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,43438.59899999999,239014,239005.614,239022.401,282461,282461.40000009537,2023-11-28T14:49:03.575Z,282466.429,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,8010.770999809261,282461.5,282449.601,282466.429,290477.19999980927,290477.5,2023-11-28T14:49:11.592Z,290482.083,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,Twee mannen die de auto duwen,,,,,,,,,
,answer,html.Page,7_2,,,form submission,6895.917000000016,290477.69999980927,290465.603,290482.083,297378,297378.2999997139,2023-11-28T14:49:18.494Z,297381.224,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,58355.59899999999,239014,239005.614,239022.401,297378,297378.5,2023-11-28T14:49:18.494Z,297381.224,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,41536.67600009538,297378.7999997139,297364.152,297381.224,338917.90000009537,338918.2999997139,2023-11-28T14:50:00.034Z,338925.2,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,7642.4999998092535,338918.59999990463,338908.578,338925.2,346567.69999980927,346568.09999990463,2023-11-28T14:50:07.684Z,346574.144,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,de rode strik op 1 van de beren,,,,,,,
,answer,html.Page,8_2,,,form submission,5271.955999904661,346568.40000009537,346557.44,346574.144,351846.09999990463,351846.40000009537,2023-11-28T14:50:12.962Z,351856.682,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,54464.875999904645,297378.69999980927,297364.152,297381.224,351846.09999990463,351846.59999990463,2023-11-28T14:50:12.962Z,351856.682,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,53263.51799980929,351846.7999997139,351838.801,351856.682,405120.19999980927,405120.5,2023-11-28T14:51:06.237Z,405132.757,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,9035.743000000017,405120.69999980927,405114.939,405132.757,414168.5,414168.90000009537,2023-11-28T14:51:15.285Z,414181.686,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,"imker is niet in paniek ",,,,,
,answer,html.Page,9_2,,,form submission,8390.814000000013,414169.09999990463,414164.62,414181.686,422572.5,422572.7999997139,2023-11-28T14:51:23.689Z,422580.373,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,70715.81800000003,351846.69999980927,351838.801,351856.682,422572.5,422573.09999990463,2023-11-28T14:51:23.690Z,422580.373,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,31452.926999713876,422574.09999990463,422563.653,422580.373,454033.2999997139,454033.59999990463,2023-11-28T14:51:55.150Z,454042.67,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,6959.929999904649,454033.90000009537,454025.857,454042.67,461002.59999990463,461003.09999990463,2023-11-28T14:52:02.120Z,461008.336,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,"geen kind op een fiets ",,,
,answer,html.Page,10_2,,,form submission,5564.4639997138875,461003.40000009537,460991.686,461008.336,466572.7999997139,466573.09999990463,2023-11-28T14:52:07.692Z,466576.411,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,park1,flow.Sequence,10,,,completion,43992.426999713876,422573.90000009537,422563.653,422580.373,466572.7999997139,466573.40000009537,2023-11-28T14:52:07.692Z,466576.411,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,11_0,,,form submission,42937.78899980924,466573.5,466556.599,466576.411,509514.19999980927,509514.40000009537,2023-11-28T14:52:50.633Z,509518.245,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,park2-image,html.Page,11_1,,,form submission,16742.45499980927,509514.59999990463,509501.569,509518.245,526260.6999998093,526261.4000000954,2023-11-28T14:53:07.380Z,526288.816,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,"Geen bloembak met witte bloemen ",
,answer,html.Page,11_2,,,form submission,3585.983999713906,526261.6999998093,526249.312,526288.816,529874.7999997139,529875.0999999046,2023-11-28T14:53:10.994Z,529882.103,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,park2,flow.Sequence,11,,,completion,63298.388999713876,466573.40000009537,466556.599,466576.411,529874.7999997139,529875.6999998093,2023-11-28T14:53:10.994Z,529882.103,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,bedankt,html.Page,12,,,timeout,2999.841999999946,529875.9000000954,529865.755,529882.103,532865.059,532866.0999999046,2023-11-28T14:53:13.985Z,532881.945,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
,root,flow.Sequence,,,,completion,531576.6410000001,1299,1238.434,1288.418,532865.059,532866.4000000954,2023-11-28T14:53:13.985Z,532881.945,4hJIm2UIn4,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,hallo,,,,,,,,,,,,,,,,,,,,,,,,
