meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc56fa275e2b7bded470"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":682,""window_innerWidth"":1536,""window_innerHeight"":730,""devicePixelRatio"":1.25}",ID,html.Page,0,1,,form submission,5129.025999988079,2464.600000023842,2272.632,2472.674,7601.699999988079,7603.400000035763,2023-11-28T14:42:38.429Z,7622.062,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,233070,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,40505.938,7604.100000023842,7588.822,7622.062,48128,48128.69999998808,2023-11-28T14:43:18.959Z,48133.422,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7224.978000035764,48129,48116.758,48133.422,55358.40000003576,55360,2023-11-28T14:43:26.191Z,55365.856,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,92401.54400003576,55360.80000001192,55349.655,55365.856,147767.40000003576,147768.19999998808,2023-11-28T14:44:58.597Z,147770.689,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,8851.411000023829,147768.69999998808,147754.248,147770.689,156622.10000002384,156623,2023-11-28T14:45:07.452Z,156636.204,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,,,,,,Twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,3895.995999988081,156623.19999998808,156619.627,156636.204,160532.19999998808,160533.19999998808,2023-11-28T14:45:11.362Z,160535.785,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,105166.34399998808,55360.60000002384,55349.655,55365.856,160532.19999998808,160538.80000001192,2023-11-28T14:45:11.368Z,160535.785,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,61912.61500003576,160539.19999998808,160519.557,160535.785,222448.40000003576,222449.40000003576,2023-11-28T14:46:13.275Z,222461.148,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,4673.452000023855,222449.90000003576,222443.412,222461.148,227134.60000002384,227135.60000002384,2023-11-28T14:46:17.961Z,227143.833,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,,,,,,,,De surfer,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3708.366999988066,227136,227126.932,227143.833,230852.19999998808,230853.19999998808,2023-11-28T14:46:21.679Z,230860.095,GAnCG0UgBv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,S,,,,,,,,,,,,,,,,,,,,,,,,
