meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc77fa275e2b7bded491"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""es-ES"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":551,""window_innerWidth"":1280,""window_innerHeight"":551,""devicePixelRatio"":1.5}",ID,html.Page,0,1,,form submission,4939.023999928475,2072,1975.72,2075.676,7014.699999928474,7015.399999976158,2023-11-28T14:43:10.771Z,7024.106,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,750079,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,44141.29399997616,7015.799999952316,7007.905,7024.106,51165.39999997616,51165.799999952316,2023-11-28T14:43:54.922Z,51175.465,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,"Nederlands, Engels ",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,11986.934999976162,51166.199999928474,51158.597,51175.465,63162.39999997616,63162.799999952316,2023-11-28T14:44:06.919Z,63171.088,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,53226.71199995231,63163.09999990463,63153.5,63171.088,116397.79999995232,116398.19999992847,2023-11-28T14:45:00.154Z,116402.59,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,10285.609999928478,116398.39999997616,116386.014,116402.59,126688.19999992847,126688.89999997616,2023-11-28T14:45:10.445Z,126698.996,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,,,,,,2 eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,7884.303999952317,126689.19999992847,126678.883,126698.996,134583.29999995232,134584.19999992847,2023-11-28T14:45:18.340Z,134596.361,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,71412.21199995231,63163.09999990463,63153.5,63171.088,134583.29999995232,134587.5,2023-11-28T14:45:18.343Z,134596.361,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,55179.73899990463,134587.79999995232,134580.239,134596.361,189776.09999990463,189776.5,2023-11-28T14:46:13.532Z,189777.102,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,32782.297999976145,189776.79999995232,189760.703,189777.102,222559.39999997616,222559.89999997616,2023-11-28T14:46:46.316Z,222565.942,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,22142.957999976148,222560.29999995232,222550.11,222565.942,244708.89999997616,244709.5,2023-11-28T14:47:08.465Z,244724.65,MhI4BLKsK3,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ine,,,,,,,,,,,,,,,,,,,,,,,,
