meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc86fa275e2b7bded4a5"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Amsterdam"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":659,""window_innerWidth"":1536,""window_innerHeight"":707,""devicePixelRatio"":1.25}",ID,html.Page,0,1,,form submission,3521.174,2028.800000011921,1968.608,2035.326,5556.5,5557.5,2023-11-28T14:43:23.975Z,5567.074,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,430236,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,25742.72600001192,5558,5550.65,5567.074,31309.80000001192,31310,2023-11-28T14:43:49.728Z,31322.498,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8666.402000035763,31310.200000047684,31306.067,31322.498,39988.90000003576,39989.5,2023-11-28T14:43:58.408Z,40001.884,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,24,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,38164.41600001192,39989.90000003576,39985.446,40001.884,78166.30000001192,78166.70000004768,2023-11-28T14:44:36.582Z,78168.217,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,33845.88300002384,78167,78151.746,78168.217,112014.10000002384,112014.5,2023-11-28T14:45:10.430Z,112019.763,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,de twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,15778.137000035757,112014.80000001192,112003.403,112019.763,127797.90000003576,127798.20000004768,2023-11-28T14:45:26.214Z,127813.023,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,87796.01600003577,39989.90000003576,39985.446,40001.884,127797.90000003576,127802.90000003576,2023-11-28T14:45:26.218Z,127813.023,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,51371.37700003576,127803.20000004768,127796.447,127813.023,179184.40000003576,179184.80000001192,2023-11-28T14:46:17.603Z,179190.044,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,8674.556000023847,179185.10000002384,179173.659,179190.044,187864.60000002384,187865,2023-11-28T14:46:26.283Z,187869.518,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,een vishengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3804.382000035752,187865.40000003576,187853.128,187869.518,191673.90000003576,191674.5,2023-11-28T14:46:30.093Z,191684.752,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,63860.87700003576,127803.10000002384,127796.447,127813.023,191673.90000003576,191675,2023-11-28T14:46:30.093Z,191684.752,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,35683.24799999999,191675.30000001192,191667.895,191684.752,227368,227368.40000003576,2023-11-28T14:47:05.787Z,227390.116,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,7844.584000047675,227368.70000004768,227352.307,227390.116,235234.70000004768,235235.20000004768,2023-11-28T14:47:13.653Z,235248.585,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,de luifel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,3022.215000011929,235235.40000003576,235231.884,235248.585,238270.80000001192,238271.30000001192,2023-11-28T14:47:16.690Z,238280.602,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,46586.04800001191,191675.20000004768,191667.895,191684.752,238270.80000001192,238271.60000002384,2023-11-28T14:47:16.690Z,238280.602,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,48511.39799999999,238271.90000003576,238264.226,238280.602,286792,286792.40000003576,2023-11-28T14:48:05.211Z,286814.451,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,8248.34900001192,286792.60000002384,286775.472,286814.451,295062.8000000119,295063.2000000477,2023-11-28T14:48:13.481Z,295072.021,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,de kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,2183.079000023834,295063.40000003576,295055.413,295072.021,297255.10000002384,297255.40000003576,2023-11-28T14:48:15.674Z,297271.108,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,58974.49800002383,238271.70000004768,238264.226,238280.602,297255.10000002384,297255.8000000119,2023-11-28T14:48:15.674Z,297271.108,OJ04y34774,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justin de Witt,,,,,,,,,,,,,,,,,,,,,,,,
