meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc71fa275e2b7bded489"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""nl"",""locale"":""nl-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1318,""scroll_height"":598,""window_innerWidth"":1318,""window_innerHeight"":646,""devicePixelRatio"":1}",ID,html.Page,0,1,,form submission,5178.769999976158,1468.5,1372.246,1472.13,6650.899999976158,6651.800000011921,2023-11-28T14:43:04.035Z,6670.536,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,545894,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,47485.964,6652.399999976158,6637.126,6670.536,54156.5,54157.09999996424,2023-11-28T14:43:51.541Z,54171.478,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,14092.221999988076,54157.5,54138.284,54171.478,68263.69999998808,68264.09999996424,2023-11-28T14:44:05.648Z,68283.076,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,,,19,na,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,54172.32399997616,68264.30000001192,68250.333,68283.076,122455.39999997616,122456,2023-11-28T14:44:59.839Z,122481.91,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,16847.489999976155,122456.30000001192,122449.186,122481.91,139329.39999997616,139329.80000001192,2023-11-28T14:45:16.713Z,139359.56,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,,,,,,De 2 eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,59042.44,139330,139326.419,139359.56,198402,198402.30000001192,2023-11-28T14:46:15.786Z,198424.002,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,130118.924,68264.30000001192,68250.333,68283.076,198402,198405.59999996424,2023-11-28T14:46:15.790Z,198424.002,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,4100.0979999642295,198406,198390.641,198424.002,202524.09999996424,202524.39999997616,2023-11-28T14:46:19.908Z,202555.701,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,19274.198999976157,202524.59999996424,202522.375,202555.701,221829.89999997616,221830.39999997616,2023-11-28T14:46:39.214Z,221849.073,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,,,,,,,,visser,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,4989.126999988075,221830.80000001192,221816.382,221849.073,226838.19999998808,226838.80000001192,2023-11-28T14:46:44.223Z,226864.244,YfPrONTu00,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Willy,,,,,,,,,,,,,,,,,,,,,,,,
