meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc5cfa275e2b7bded476"",""userAgent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"",""platform"":""Linux x86_64"",""language"":""it-IT"",""locale"":""fr"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":876,""window_innerWidth"":1920,""window_innerHeight"":924,""devicePixelRatio"":1}",ID,html.Page,0,1,,form submission,8929.073999997765,3023.300000000745,2864.016,3030.526,11959.599999997765,11960.300000000745,2023-11-28T14:42:48.796Z,11972.184,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,785534,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,31435.915999997764,11960.699999999255,11955.533,11972.184,43408.099999997765,43409.099999997765,2023-11-28T14:43:20.245Z,43409.471,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,11370.529000000002,43410.300000000745,43392.82,43409.471,54780,54780.89999999851,2023-11-28T14:43:31.617Z,54798.832,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,,,19,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,88270.96800000075,54781.599999997765,54765.53,54798.832,143069.80000000075,143070.19999999925,2023-11-28T14:44:59.906Z,143199.615,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,11271.084999999264,143070.3999999985,143066.407,143199.615,154470.69999999925,154471.5,2023-11-28T14:45:11.308Z,154472.427,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,,,,,,De twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,10733.472999998514,154472.8999999985,154455.776,154472.427,165205.8999999985,165206.59999999776,2023-11-28T14:45:22.043Z,165212.377,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,110407.06799999852,54781.39999999851,54765.53,54798.832,165205.8999999985,165213.09999999776,2023-11-28T14:45:22.049Z,165212.377,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,52782.42300000074,165213.80000000075,165195.726,165212.377,217994.80000000075,217995.5,2023-11-28T14:46:14.832Z,218112.983,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,15351.817000000738,217996,217979.775,218112.983,233464.80000000075,233465.80000000075,2023-11-28T14:46:30.302Z,233465.31,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,,,,,,,,Een man die aan het vissen is,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3532.4900000007474,233467,233448.659,233465.31,236997.80000000075,236998.8999999985,2023-11-28T14:46:33.835Z,236995.345,Za8W3F-7ni,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,HE,,,,,,,,,,,,,,,,,,,,,,,,
