meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc85fa275e2b7bded4a1"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-BE"",""locale"":""en-US"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":563,""window_innerWidth"":1280,""window_innerHeight"":563,""devicePixelRatio"":1.5}",ID,html.Page,0,1,,form submission,5628.476999904633,2293,2218.985,2285.623,7914.099999904633,7914.799999952316,2023-11-28T14:43:26.473Z,7916.945,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,832039,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,20798.45499985695,7915.200000047684,7900.284,7916.945,28715.39999985695,28715.89999985695,2023-11-28T14:43:47.274Z,28726.335,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,Frans en Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6112.06499985695,28716,28709.673,28726.335,34838.39999985695,34838.700000047684,2023-11-28T14:43:53.397Z,34840.829,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,67065.671,34839,34824.168,34840.829,101906.5,101906.89999985695,2023-11-28T14:45:00.464Z,101919.621,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,23190.678999952317,101907.09999990463,101902.961,101919.621,125110.29999995232,125110.59999990463,2023-11-28T14:45:23.668Z,125109.152,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,twee eenden,twee eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,3616.9479999046307,125110.79999995232,125092.491,125109.152,128726.09999990463,128726.39999985695,2023-11-28T14:45:27.284Z,128741.237,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,93885.27099990463,34838.89999985695,34824.168,34840.829,128726.09999990463,128729.59999990463,2023-11-28T14:45:27.287Z,128741.237,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,48223.86299990464,128729.89999985695,128723.266,128741.237,176965.09999990463,176965.5,2023-11-28T14:46:15.527Z,176979.297,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,15847.302999904641,176965.59999990463,176962.636,176979.297,192826.59999990463,192827,2023-11-28T14:46:31.389Z,192842.033,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,de visser,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,4645.667000047688,192827.20000004768,192818.691,192842.033,197487.70000004768,197488.20000004768,2023-11-28T14:46:36.050Z,197490.173,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,68746.46300004769,128729.79999995232,128723.266,128741.237,197487.70000004768,197488.5,2023-11-28T14:46:36.051Z,197490.173,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,38551.32699999999,197488.70000004768,197473.513,197490.173,236041.5,236042,2023-11-28T14:47:14.604Z,236053.677,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,12085.922999904637,236042.09999990463,236037.013,236053.677,248139.59999990463,248140,2023-11-28T14:47:26.702Z,248155.087,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,de luifel met wit/rode strepen,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,3049.9130000000005,248140.20000004768,248132.755,248155.087,251205,251205.39999985695,2023-11-28T14:47:29.768Z,251214.94,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,53714.82699999999,197488.59999990463,197473.513,197490.173,251205,251205.59999990463,2023-11-28T14:47:29.768Z,251214.94,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,33285.65999990463,251205.79999995232,251197.575,251214.94,284500.59999990463,284501.09999990463,2023-11-28T14:48:03.063Z,284503.29,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,14998.210000000021,284501.2999999523,284486.632,284503.29,299501.5,299501.7999999523,2023-11-28T14:48:18.066Z,299516.678,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,de kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,2242.7219998569344,299502,299497.869,299516.678,301759.39999985695,301759.7000000477,2023-11-28T14:48:20.324Z,301763.939,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,50544.45999985695,251205.79999995232,251197.575,251214.94,301759.39999985695,301760,2023-11-28T14:48:20.324Z,301763.939,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,45541.8609999523,301760.09999990463,301747.276,301763.939,347305.7999999523,347306.2000000477,2023-11-28T14:49:05.870Z,347314.616,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,17691.584000047704,347306.2999999523,347297.957,347314.616,365006.2000000477,365006.39999985695,2023-11-28T14:49:23.566Z,365008.111,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,de twee mannen die de auto uit het zand duwen,,,,,,,,,
,answer,html.Page,7_2,,,form submission,7051.389000000025,365006.39999985695,364991.454,365008.111,372059.5,372060,2023-11-28T14:49:30.620Z,372075.691,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,70295.56099999999,301760,301747.276,301763.939,372059.5,372060.2000000477,2023-11-28T14:49:30.620Z,372075.691,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,29618.208999856957,372060.39999985695,372055.282,372075.691,401693.89999985695,401694.09999990463,2023-11-28T14:50:00.254Z,401698.431,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,16231.368999952334,401694.2999999523,401681.769,401698.431,417929.7999999523,417930.2999999523,2023-11-28T14:50:16.494Z,417945.259,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,één van de beren heeft geen strik,,,,,,,
,answer,html.Page,8_2,,,form submission,2716.24099999998,417930.5,417923.079,417945.259,420661.5,420661.7000000477,2023-11-28T14:50:19.226Z,420677.827,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,48585.80900000001,372060.39999985695,372055.282,372075.691,420661.5,420662,2023-11-28T14:50:19.226Z,420677.827,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,43529.57299985696,420662.09999990463,420661.165,420677.827,464207.39999985695,464207.7000000477,2023-11-28T14:51:02.772Z,464223.519,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,10251.580999904661,464207.7999999523,464206.857,464223.519,474475.09999990463,474475.2000000477,2023-11-28T14:51:13.039Z,474486.628,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,de imker is niet in paniek,,,,,
,answer,html.Page,9_2,,,form submission,4649.871999999974,474475.39999985695,474469.91,474486.628,479136.5,479136.7999999523,2023-11-28T14:51:17.701Z,479143.33,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,58458.67300000001,420662,420661.165,420677.827,479136.5,479137.09999990463,2023-11-28T14:51:17.701Z,479143.33,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,36988.169999999984,479137.2000000477,479126.673,479143.33,516131.5,516131.7999999523,2023-11-28T14:51:54.696Z,516131.749,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,9772.350999904622,516132,516115.092,516131.749,525904.0999999046,525904.2999999523,2023-11-28T14:52:04.469Z,525918.664,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,kindje op een fiets met zijwieltjes,,,
,answer,html.Page,10_2,,,form submission,4591.1359999523265,525904.399999857,525901.998,525918.664,530509.7999999523,530510.2000000477,2023-11-28T14:52:09.075Z,530510.317,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,park1,flow.Sequence,10,,,completion,51366.4699999523,479137.2000000477,479126.673,479143.33,530509.7999999523,530510.5,2023-11-28T14:52:09.075Z,530510.317,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,11_0,,,form submission,43856.68299999996,530510.7000000477,530493.655,530510.317,574367,574367.2999999523,2023-11-28T14:52:52.928Z,574369.068,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,park2-image,html.Page,11_1,,,form submission,6019.43200000003,574367.399999857,574352.407,574369.068,580388.5,580388.7999999523,2023-11-28T14:52:58.949Z,580400.037,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,geen witte bloemen,
,answer,html.Page,11_2,,,form submission,5281.462999999989,580388.899999857,580382.638,580400.037,585681.5,585681.7000000477,2023-11-28T14:53:04.242Z,585683.011,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
,park2,flow.Sequence,11,,,completion,55171.18299999996,530510.5999999046,530493.655,530510.317,585681.5,585682,2023-11-28T14:53:04.243Z,585683.011,_nBI9JQobH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,a,,,,,,,,,,,,,,,,,,,,,,,,
