meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc5afa275e2b7bded474"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":691,""window_innerWidth"":1536,""window_innerHeight"":739,""devicePixelRatio"":1.25}",ID,html.Page,0,1,,form submission,9365.113000047684,1399.7999999523163,1343.632,1393.587,10758.700000047684,10759.399999976158,2023-11-28T14:42:45.518Z,10762.183,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,450864,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,22796.616999952315,10759.799999952316,10745.847,10762.183,33558.799999952316,33559.39999997616,2023-11-28T14:43:08.318Z,33565.517,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,"Nederlands, Frans",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,11807.782999952316,33559.799999952316,33548.941,33565.517,45373.299999952316,45373.60000002384,2023-11-28T14:43:20.132Z,45380.878,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,19,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,99525.32200004769,45373.799999952316,45356.014,45380.878,144906.20000004768,144906.60000002384,2023-11-28T14:44:59.665Z,144919.371,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,18169.128999999986,144906.79999995232,144902.96,144919.371,163088.5,163088.89999997616,2023-11-28T14:45:17.843Z,163101.447,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,De 2 eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,1977.1530000238563,163089.10000002384,163085.408,163101.447,165078.60000002384,165079,2023-11-28T14:45:19.833Z,165092.996,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,119697.72200002384,45373.799999952316,45356.014,45380.878,165078.60000002384,165081.89999997616,2023-11-28T14:45:19.836Z,165092.996,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,58045.3039999523,165082.10000002384,165063.817,165092.996,223138.29999995232,223138.70000004768,2023-11-28T14:46:17.894Z,223152.766,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,11920.033999952313,223139,223131.877,223152.766,235072.79999995232,235073.20000004768,2023-11-28T14:46:29.828Z,235072.822,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,Hengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,1995.5779999761726,235073.60000002384,235056.174,235072.822,237068.39999997616,237068.79999995232,2023-11-28T14:46:31.824Z,237084.286,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,71975.40399997614,165082.10000002384,165063.817,165092.996,237068.39999997616,237069.10000002384,2023-11-28T14:46:31.824Z,237084.286,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,33449.21400000001,237069.29999995232,237054.979,237084.286,270533.5,270533.89999997616,2023-11-28T14:47:05.289Z,270549.233,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,4638.367000023834,270534.10000002384,270529.398,270549.233,275187.60000002384,275188.2000000477,2023-11-28T14:47:09.943Z,275202.562,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,Luifel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,1405.0380000238656,275188.2999999523,275185.91,275202.562,276607.60000002384,276608.10000002384,2023-11-28T14:47:11.363Z,276615.035,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,39523.31400002385,237069.29999995232,237054.979,237084.286,276607.60000002384,276608.39999997616,2023-11-28T14:47:11.363Z,276615.035,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,52256.364999976184,276608.39999997616,276606.786,276615.035,328871.39999997616,328871.7999999523,2023-11-28T14:48:03.627Z,328874.324,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,6949.876000047661,328872,328858.04,328874.324,335824.2000000477,335824.5,2023-11-28T14:48:10.580Z,335834.729,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,De man zaagt niet,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,51785.37100002385,335824.60000002384,335809.273,335834.729,387620.10000002384,387620.39999997616,2023-11-28T14:49:02.376Z,387621.75,d1Tx8kvHp5,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,0,,,,,,,,,,,,,,,,,,,,,,,,
