meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc74fa275e2b7bded48f"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-BE"",""locale"":""nl"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":571,""window_innerWidth"":1280,""window_innerHeight"":571,""devicePixelRatio"":1.5}",ID,html.Page,0,1,,form submission,14621.906999976158,2484.599999964237,2362.144,2495.493,17117.399999976158,17118.69999998808,2023-11-28T14:43:16.466Z,17128.856,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,914818,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,39739.54399997616,17119.399999976158,17112.136,17128.856,56868.39999997616,56869.09999996424,2023-11-28T14:43:56.217Z,56878.945,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,"Nederlands ",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7898.454999976158,56869.69999998808,56862.41,56878.945,64777.39999997616,64778,2023-11-28T14:44:04.126Z,64779.021,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,21,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,53285.778999952316,64778.5,64762.813,64779.021,118064.79999995232,118065.5,2023-11-28T14:44:57.413Z,118079.138,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,22985.46199996423,118065.79999995232,118062.507,118079.138,141064.59999996424,141065.29999995232,2023-11-28T14:45:20.413Z,141080.386,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,"Eenden ",,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,20240.21399996424,141065.79999995232,141045.88,141080.386,161320.59999996424,161321.19999998808,2023-11-28T14:45:40.669Z,161329.206,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,96541.57899996423,64778.39999997616,64762.813,64779.021,161320.59999996424,161327.19999998808,2023-11-28T14:45:40.675Z,161329.206,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,33558.293999999994,161327.79999995232,161312.556,161329.206,194887.5,194888.09999996424,2023-11-28T14:46:14.236Z,194895.98,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,5858.419999976148,194888.39999997616,194879.36,194895.98,200754.39999997616,200755.39999997616,2023-11-28T14:46:20.103Z,200762.637,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,"de visser ",,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,20755.26299997617,200755.79999995232,200745.972,200762.637,221517.89999997616,221518.89999997616,2023-11-28T14:46:40.867Z,221529.359,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,60188.69399997615,161327.59999996424,161312.556,161329.206,221517.89999997616,221519.5,2023-11-28T14:46:40.867Z,221529.359,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,24806.94099995232,221520,221512.69,221529.359,246336.29999995232,246336.89999997616,2023-11-28T14:47:05.685Z,246346.066,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,8380.633999988087,246337.29999995232,246329.435,246346.066,254726.69999998808,254727.5,2023-11-28T14:47:14.076Z,254746.08,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,de luifel met witte en rode strepen,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,16322.420000000013,254727.79999995232,254729.431,254746.08,271068.5,271069.09999996424,2023-11-28T14:47:30.417Z,271079.544,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,49539.141,221519.79999995232,221512.69,221529.359,271068.5,271069.59999996424,2023-11-28T14:47:30.418Z,271079.544,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,33187.855999976164,271069.89999997616,271063.086,271079.544,304267.39999997616,304267.89999997616,2023-11-28T14:48:03.616Z,304279.505,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,5997.194999988074,304268.1999999881,304262.894,304279.505,310276.6999999881,310277.2999999523,2023-11-28T14:48:09.626Z,310279.6,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,de kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,15867.99999996426,310277.6999999881,310263.004,310279.6,326147.59999996424,326148,2023-11-28T14:48:25.496Z,326162.997,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,55068.05599996424,271069.7999999523,271063.086,271079.544,326147.59999996424,326148.39999997616,2023-11-28T14:48:25.497Z,326162.997,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,37531.10299996426,326148.6999999881,326146.631,326162.997,363694.09999996424,363694.6999999881,2023-11-28T14:49:03.043Z,363696.301,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,11264.59899997618,363695.09999996424,363679.759,363696.301,374960.89999997616,374961.59999996424,2023-11-28T14:49:14.310Z,374962.974,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,"de twee mannen die de auto los proberen te duwen ",,,,,,,,,
,answer,html.Page,7_2,,,form submission,6173.325999952329,374961.7999999523,374946.788,374962.974,381136.2999999523,381136.89999997616,2023-11-28T14:49:20.485Z,381146.389,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,54973.30299995234,326148.59999996424,326146.631,326162.997,381136.2999999523,381137.2999999523,2023-11-28T14:49:20.485Z,381146.389,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,3683.1109999999753,381137.59999996424,381130.096,381146.389,384829.5,384830,2023-11-28T14:49:24.178Z,384847.522,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,39786.478,384830.5,384813.126,384847.522,424634,424635,2023-11-28T14:50:03.983Z,424646.528,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,"de rode strik rond de beer ",,,,,,,
,answer,html.Page,8_2,,,form submission,2872.571999964246,424635.2999999523,424629.888,424646.528,427519.09999996424,427519.6999999881,2023-11-28T14:50:06.868Z,427529.846,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,46372.71099996421,381137.59999996424,381130.096,381146.389,427519.09999996424,427520.39999997616,2023-11-28T14:50:06.868Z,427529.846,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,50027.75399996422,427520.6999999881,427513.18,427529.846,477557.59999996424,477558,2023-11-28T14:50:56.906Z,477563.297,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,7383.802999964217,477558.39999997616,477546.624,477563.297,484947.09999996424,484947.59999996424,2023-11-28T14:51:04.295Z,484946.611,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,"de imker is niet in paniek ",,,,,
,answer,html.Page,9_2,,,form submission,4387.488999964262,484948,484930.306,484946.611,489334.09999996424,489334.59999996424,2023-11-28T14:51:08.682Z,489346.599,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,61804.25399996422,427520.59999996424,427513.18,427529.846,489334.09999996424,489335,2023-11-28T14:51:08.683Z,489346.599,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,43359.10099998809,489335.2999999523,489329.997,489346.599,532705.6999999881,532706.0999999642,2023-11-28T14:51:52.054Z,532713.353,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,8453.946999952313,532706.3999999762,532696.912,532713.353,541167.2999999523,541167.7999999523,2023-11-28T14:52:00.516Z,541180.03,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,"moeder met kind op fiets ",,,
,answer,html.Page,10_2,,,form submission,6906.569999964209,541168.2999999523,541163.376,541180.03,548086.5999999642,548087.1999999881,2023-11-28T14:52:07.435Z,548096.789,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,park1,flow.Sequence,10,,,completion,58740.00099996425,489335.1999999881,489329.997,489346.599,548086.5999999642,548087.7999999523,2023-11-28T14:52:07.435Z,548096.789,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,11_0,,,form submission,40670.41099998809,548088.1999999881,548080.099,548096.789,588767.1999999881,588767.6999999881,2023-11-28T14:52:48.115Z,588780.213,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,park2-image,html.Page,11_1,,,form submission,9168.287000000011,588768,588763.725,588780.213,597948.5,597949.1999999881,2023-11-28T14:52:57.297Z,597963.789,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,de witte bloemen,
,answer,html.Page,11_2,,,form submission,25381.71100000001,597949.5,597930.198,597963.789,623345.5,623346,2023-11-28T14:53:22.694Z,623346.888,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,park2,flow.Sequence,11,,,completion,75248.71100000001,548088.1999999881,548080.099,548096.789,623345.5,623346.7999999523,2023-11-28T14:53:22.695Z,623346.888,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,bedankt,html.Page,12,,,timeout,3000.042000000016,623347.3999999762,623330.238,623346.888,626330.691,626332.5999999642,2023-11-28T14:53:25.680Z,626346.93,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
,root,flow.Sequence,,,,completion,623835.198,2484.2999999523163,2362.144,2495.493,626330.691,626333.5999999642,2023-11-28T14:53:25.681Z,626346.93,fliHMpsMNR,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,C,,,,,,,,,,,,,,,,,,,,,,,,
