meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc74fa275e2b7bded48d"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":595,""window_innerWidth"":1280,""window_innerHeight"":595,""devicePixelRatio"":1.5}",ID,html.Page,0,1,,form submission,3214.9219999523166,1339.0999999046326,1297.146,1330.378,4545.299999952316,4545.699999928474,2023-11-28T14:43:02.290Z,4545.975,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,347939,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,19887.624999904634,4545.899999976158,4529.374,4545.975,24433.599999904633,24434,2023-11-28T14:43:22.177Z,24439.22,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6333.879999904631,24434.199999928474,24422.613,24439.22,30773.099999904633,30773.599999904633,2023-11-28T14:43:28.517Z,30787.289,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,19,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,90136.61099997615,30774,30770.549,30787.289,120923.89999997616,120924.29999995232,2023-11-28T14:44:58.668Z,120939.751,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,18449.748999999996,120924.5,120923.572,120939.751,139389.5,139390,2023-11-28T14:45:17.134Z,139400.219,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,Twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,9391.480999928463,139390.29999995232,139383.528,139400.219,148791.69999992847,148791.89999997616,2023-11-28T14:45:26.536Z,148797.024,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,118004.41099992847,30773.899999976158,30770.549,30787.289,148791.69999992847,148795.39999997616,2023-11-28T14:45:26.539Z,148797.024,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,47181.27599995231,148795.69999992847,148780.431,148797.024,195978.29999995232,195978.59999990463,2023-11-28T14:46:13.722Z,195998.999,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,5502.300999952306,195978.89999997616,195964.381,195998.999,201501.29999995232,201501.79999995232,2023-11-28T14:46:19.245Z,201512.402,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,schip,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,51587.79799992847,201502.39999997616,201495.973,201512.402,253100.19999992847,253100.79999995232,2023-11-28T14:47:10.844Z,253111.738,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,104303.17599992847,148795.59999990463,148780.431,148797.024,253100.19999992847,253101.19999992847,2023-11-28T14:47:10.845Z,253111.738,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1322.4619999284623,253101.89999997616,253095.17,253111.738,254434.19999992847,254434.5,2023-11-28T14:47:12.178Z,254444.642,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,10249.95799990464,254434.69999992847,254427.866,254444.642,264694.59999990463,264694.89999997616,2023-11-28T14:47:22.438Z,264707.656,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,de luifel is niet wit-rood,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,11699.143999952299,264695.1999999285,264691.145,264707.656,276406.7999999523,276406.89999997616,2023-11-28T14:47:34.150Z,276420.273,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,23295.061999952304,253101.39999997616,253095.17,253111.738,276406.7999999523,276407.09999990463,2023-11-28T14:47:34.150Z,276420.273,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,32240.727000000014,276407.09999990463,276403.617,276420.273,308661,308661.1999999285,2023-11-28T14:48:06.405Z,308676.063,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,9367.436999999976,308661.5,308659.421,308676.063,318043.5,318043.7999999523,2023-11-28T14:48:15.787Z,318056.27,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,de man zaagt niet,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,45560.12999997614,318044.39999997616,318039.578,318056.27,363616.39999997616,363616.59999990463,2023-11-28T14:49:01.360Z,363624.051,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,87196.12699997617,276407.09999990463,276403.617,276420.273,363616.39999997616,363616.89999997616,2023-11-28T14:49:01.360Z,363624.051,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,1003.5489999046549,363617.09999990463,363607.668,363624.051,364627.59999990463,364628,2023-11-28T14:49:02.371Z,364640.404,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,13060.795999928494,364628.1999999285,364623.901,364640.404,377701.1999999285,377701.39999997616,2023-11-28T14:49:15.445Z,377720.257,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,"tweede man ",,,,,,,,,
,answer,html.Page,7_2,,,form submission,4958.342999904649,377701.59999990463,377685.886,377720.257,382678.59999990463,382678.89999997616,2023-11-28T14:49:20.422Z,382684.182,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,19054.548999904655,363617,363607.668,363624.051,382678.59999990463,382679.1999999285,2023-11-28T14:49:20.422Z,382684.182,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,41475.71799997619,382679.39999997616,382667.636,382684.182,424159.89999997616,424160.2999999523,2023-11-28T14:50:01.903Z,424170.15,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,12580.94999990461,424160.39999997616,424153.605,424170.15,436751.09999990463,436751.59999990463,2023-11-28T14:50:14.495Z,436765.912,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,rode strik van de beer,,,,,,,
,answer,html.Page,8_2,,,form submission,5268.687999904621,436752,436749.247,436765.912,442034.59999990463,442034.89999997616,2023-11-28T14:50:19.778Z,442047.526,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,59350.41799990466,382679.2999999523,382667.636,382684.182,442034.59999990463,442035.09999990463,2023-11-28T14:50:19.779Z,442047.526,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,41959.97399999999,442035.2999999523,442030.957,442047.526,484007.5,484007.6999999285,2023-11-28T14:51:01.751Z,484016.474,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,12698.825999952329,484007.89999997616,483999.895,484016.474,496715.2999999523,496715.6999999285,2023-11-28T14:51:14.460Z,496729.015,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,imker is niet in paniek,,,,,
,answer,html.Page,9_2,,,form submission,1486.0849999046186,496716.2999999523,496712.318,496729.015,498215.09999990463,498215.2999999523,2023-11-28T14:51:15.959Z,498228.386,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,56167.57399990462,442035.2999999523,442030.957,442047.526,498215.09999990463,498215.5,2023-11-28T14:51:15.959Z,498228.386,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,36878.614,498215.59999990463,498211.926,498228.386,535107,535107.1999999285,2023-11-28T14:51:52.851Z,535115.775,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,5628.524999952293,535107.2999999523,535099.089,535115.775,540744.2999999523,540744.5999999046,2023-11-28T14:51:58.489Z,540747.203,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,geen fiets,,,
,answer,html.Page,10_2,,,form submission,8518.79700000002,540745.2999999523,540730.531,540747.203,549266,549266.2999999523,2023-11-28T14:52:07.010Z,549277.772,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,park1,flow.Sequence,10,,,completion,51037.614,498215.59999990463,498211.926,498228.386,549266,549266.5,2023-11-28T14:52:07.010Z,549277.772,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,11_0,,,form submission,42820.728,549266.6999999285,549261.122,549277.772,592098.5,592098.6999999285,2023-11-28T14:52:49.842Z,592113.131,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,park2-image,html.Page,11_1,,,form submission,8140.168999952264,592098.8999999762,592096.713,592113.131,600253.2999999523,600253.5999999046,2023-11-28T14:52:57.997Z,600260.314,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,geen witte bloemen,
,answer,html.Page,11_2,,,form submission,3582.185999999987,600254.0999999046,600243.849,600260.314,603842.5,603842.8999999762,2023-11-28T14:53:01.586Z,603859.908,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,park2,flow.Sequence,11,,,completion,54564.728,549266.5999999046,549261.122,549277.772,603842.5,603843.1999999285,2023-11-28T14:53:01.586Z,603859.908,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,bedankt,html.Page,12,,,timeout,2998.3209999999963,603843.2999999523,603826.168,603859.908,606841.501,606842.5,2023-11-28T14:53:04.586Z,606858.229,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
,root,flow.Sequence,,,,completion,605511.123,1339,1297.146,1330.378,606841.501,606842.8999999762,2023-11-28T14:53:04.586Z,606858.229,pxJGbsyjHo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Rombaut,,,,,,,,,,,,,,,,,,,,,,,,
