meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc56fa275e2b7bded471"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-BE"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":659,""window_innerWidth"":1536,""window_innerHeight"":707,""devicePixelRatio"":1.25}",ID,html.Page,0,1,,form submission,3284.8290000476836,3853.5,3767.596,3867.371,7152.200000047684,7153.200000047684,2023-11-28T14:42:37.266Z,7171.695,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,823792,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,28117.805,7153.900000035763,7133.113,7171.695,35289.5,35290,2023-11-28T14:43:05.403Z,35291.487,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,"Nederlands, Frans",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9017.61300002384,35290.30000001192,35275.325,35291.487,44309.10000002384,44310,2023-11-28T14:43:14.423Z,44322.738,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,104869.66200003577,44310.5,44306.389,44322.738,149192.40000003576,149193,2023-11-28T14:44:59.306Z,149210.825,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,13720.97500001191,149193.40000003576,149180.655,149210.825,162931.80000001192,162932.40000003576,2023-11-28T14:45:13.045Z,162937.825,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,,,,,,eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,9064.875000047672,162932.70000004768,162921.309,162937.825,172002.70000004768,172003.90000003576,2023-11-28T14:45:22.117Z,172018.528,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,127679.96200004769,44310.40000003576,44306.389,44322.738,172002.70000004768,172008.5,2023-11-28T14:45:22.121Z,172018.528,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,48871.57200002385,172008.80000001192,172002.263,172018.528,220890.10000002384,220891.20000004768,2023-11-28T14:46:11.004Z,220904.38,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,30663.720000023837,220891.70000004768,220887.743,220904.38,251568.10000002384,251568.80000001192,2023-11-28T14:46:41.681Z,251578.838,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3458.362000047695,251569.5,251550.195,251578.838,255037.20000004768,255038.10000002384,2023-11-28T14:46:45.150Z,255044.624,qJbqMAuWgE,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noura,,,,,,,,,,,,,,,,,,,,,,,,
