meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc86fa275e2b7bded4a3"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-fr"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":693,""window_innerWidth"":1440,""window_innerHeight"":741,""devicePixelRatio"":2}",ID,html.Page,0,1,,form submission,3658,1186,1211,1228,4886,4888,2023-11-28T14:43:23.386Z,4911,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,806148,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,21360,4888,4894,4911,26271,26271,2023-11-28T14:43:44.768Z,26295,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,frans en nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,17473,26271,26279,26295,43768,43768,2023-11-28T14:44:02.263Z,43795,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,56074,43768,43779,43795,99869,99869,2023-11-28T14:44:58.363Z,99910,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,13682,99869,99880,99910,113592,113593,2023-11-28T14:45:12.086Z,113614,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,,,,,,de eendjes,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,8180,113593,113599,113614,121794,121794,2023-11-28T14:45:20.288Z,121814,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,77999,43768,43779,43795,121794,121794,2023-11-28T14:45:20.288Z,121814,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,48362.00000000003,121795,121798,121814,170176.00000000003,170176.00000000003,2023-11-28T14:46:08.669Z,170216,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,29595,170176.00000000003,170182,170216,199811,199812,2023-11-28T14:46:38.304Z,199833,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,,,,,,,,de hengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,7345,199812,199816,199833,207178,207179,2023-11-28T14:46:45.670Z,207200,vFT3AsMftk,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,d,,,,,,,,,,,,,,,,,,,,,,,,
