meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565fc6bfa275e2b7bded487"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/Paris"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":875,""window_innerWidth"":1920,""window_innerHeight"":923,""devicePixelRatio"":1}",ID,html.Page,0,1,,form submission,5191.593000023842,5473.100000023842,5341.174,5474.507,10666.100000023842,10667.300000011921,2023-11-28T14:43:01.467Z,10693.187,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,148045,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,12244.213000035763,10667.900000035763,10659.934,10693.187,22937.400000035763,22938.200000047684,2023-11-28T14:43:13.738Z,22947.938,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,"Nederlands, Spaans, Engels",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8554.062000000002,22938.600000023842,22931.208,22947.938,31502,31502.5,2023-11-28T14:43:22.302Z,31501.196,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,,,21,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,97268.50400004769,31502.80000001192,31484.547,31501.196,128769.70000004768,128770.30000001192,2023-11-28T14:44:59.571Z,128771.588,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,13792.11200004768,128770.60000002384,128754.88,128771.588,142563.70000004768,142564.30000001192,2023-11-28T14:45:13.365Z,142576.967,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,,,,,,Twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,9547.833000011917,142564.5,142560.203,142576.967,152124.80000001192,152125.40000003576,2023-11-28T14:45:22.926Z,152130.51,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,120623.60400001192,31502.80000001192,31484.547,31501.196,152124.80000001192,152130.70000004768,2023-11-28T14:45:22.931Z,152130.51,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,52816.39000003575,152131.10000002384,152113.783,152130.51,204946.90000003576,204947.5,2023-11-28T14:46:15.745Z,204950.571,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,20296.629000047687,204947.80000001192,204933.88,204950.571,225247.20000004768,225247.60000002384,2023-11-28T14:46:36.045Z,225258.538,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,,,,,,,,Man die hoort te vissen,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,29894.162000047683,225247.80000001192,225241.632,225258.538,255152.70000004768,255153.40000003576,2023-11-28T14:47:05.951Z,255173.048,wENijhWzBV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mynameejeff,,,,,,,,,,,,,,,,,,,,,,,,
