meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565d2a4fa275e2b7bded202"",""userAgent"":""Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"",""platform"":""Linux x86_64"",""language"":""nl"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":876,""window_innerWidth"":1920,""window_innerHeight"":924,""devicePixelRatio"":1}",ID,html.Page,0,1,,form submission,4040.319999999255,1084,1038.574,1071.88,5112.199999999255,5112.9000000003725,2023-11-28T14:42:42.726Z,5117.084,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,415473,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,10431.916000000001,5113.299999998882,5100.432,5117.084,15549,15549.400000000373,2023-11-28T14:42:53.162Z,15550.272,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9149.427999999254,15549.5,15533.62,15550.272,24699.699999999255,24700.299999998882,2023-11-28T14:43:02.313Z,24699.519,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,116928.481,24700.699999999255,24682.867,24699.519,141628,141628.5,2023-11-28T14:44:59.241Z,141637.392,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,17997.207999999635,141628.69999999925,141620.74,141637.392,159634.59999999963,159635.09999999963,2023-11-28T14:45:17.248Z,159647.787,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,de 2 eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,3156.0129999988712,159635.40000000037,159631.135,159647.787,162803.79999999888,162804.09999999963,2023-11-28T14:45:20.417Z,162811.663,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,138104.28099999888,24700.699999999255,24682.867,24699.519,162803.79999999888,162807.09999999963,2023-11-28T14:45:20.420Z,162811.663,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,58888.13699999888,162807.40000000037,162795.011,162811.663,221699.79999999888,221700.09999999963,2023-11-28T14:46:19.313Z,221715.31,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,5587.690000000002,221700.40000000037,221698.658,221715.31,227303,227303.5,2023-11-28T14:46:24.916Z,227317.425,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,,,vissende man,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,7935.075000000012,227303.90000000037,227300.773,227317.425,235252.5,235252.90000000037,2023-11-28T14:46:32.866Z,235256.271,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,72440.837,162807.29999999888,162795.011,162811.663,235252.5,235253.29999999888,2023-11-28T14:46:32.866Z,235256.271,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,32599.129000000365,235253.40000000037,235239.619,235256.271,267855.4000000004,267855.7999999989,2023-11-28T14:47:05.468Z,267865.235,zoAVLzhL0k,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,L,,,,,,,,,,,,,,,,,,,,,,,,
