meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6567373afa275e2b7bdedd87"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""nl-NL"",""locale"":""nl-NL"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1470,""screen_height"":956,""scroll_width"":1327,""scroll_height"":734,""window_innerWidth"":1327,""window_innerHeight"":782,""devicePixelRatio"":2}",ID,html.Page,0,2,,form submission,7598,2028,2037,2062,9660,9661,2023-11-29T13:06:11.959Z,9687,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,521911,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,14180,9661,9670,9687,23867,23867,2023-11-29T13:06:26.165Z,23887,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8180.999999999996,23867,23873,23887,32067.999999999996,32067.999999999996,2023-11-29T13:06:34.366Z,32086,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,18,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,147318,32069.000000000004,32072,32086,179404,179405,2023-11-29T13:09:01.703Z,179464,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,19965,179405,179421,179464,199429,199429,2023-11-29T13:09:21.728Z,199454,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,18307,199429,199437,199454,217761,217761,2023-11-29T13:09:40.059Z,217787,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,185675,32069.000000000004,32072,32086,217761,217761,2023-11-29T13:09:40.060Z,217787,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1122,217761,217770,217787,218909,218909,2023-11-29T13:09:41.207Z,218963,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,13499.00000000003,218909,218921,218963,232462.00000000003,232462.00000000003,2023-11-29T13:09:54.761Z,232487,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,geen idee,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,41738,232463,232470,232487,274225,274226,2023-11-29T13:10:36.524Z,274254,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,56438,217761,217770,217787,274225,274226,2023-11-29T13:10:36.525Z,274254,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1416,274226,274237,274254,275670,275671,2023-11-29T13:10:37.970Z,275779,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,11806,275671,275688,275779,287585,287586,2023-11-29T13:10:49.885Z,287604,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,de winkel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,13195,287586,287589,287604,300799,300800,2023-11-29T13:11:03.099Z,300821,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,26545,274226,274237,274254,300799,300800,2023-11-29T13:11:03.099Z,300821,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,24022,300800,300804,300821,324843,324843,2023-11-29T13:11:27.142Z,324904,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,6164,324843,324854,324904,331068,331069,2023-11-29T13:11:33.368Z,331087,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,de kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,2393,331069,331070,331087,333480,333481,2023-11-29T13:11:35.780Z,333503,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,32659,300800,300804,300821,333480,333481,2023-11-29T13:11:35.780Z,333503,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,44469,333482,333488,333503,377972,377973,2023-11-29T13:12:20.272Z,378047,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,11718,377973,377987,378047,389765,389765,2023-11-29T13:12:32.065Z,389788,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,de twee mannen die de auto uit het zand halen.,,,,,,,,,
