meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/65673731fa275e2b7bdedd7b"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":691,""window_innerWidth"":1536,""window_innerHeight"":739,""devicePixelRatio"":1.25}",ID,html.Page,0,2,,form submission,3749.514999988079,2097.899999976158,2026.106,2092.685,5842.199999988079,5842.5,2023-11-29T13:05:59.873Z,5842.979,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,434989,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,10072.920999976159,5842.699999988079,5826.58,5842.979,15915.899999976158,15916.399999976158,2023-11-29T13:06:09.946Z,15926.999,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8414.600999964237,15916.5,15910.453,15926.999,24341.599999964237,24341.899999976158,2023-11-29T13:06:18.372Z,24343.94,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,22,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,163326.3599999523,24342,24327.589,24343.94,187670.29999995232,187670.69999998808,2023-11-29T13:09:01.701Z,187686.927,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,8196.87299995232,187670.89999997616,187653.234,187686.927,195883.79999995232,195884.59999996424,2023-11-29T13:09:09.915Z,195887.113,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,de twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,36256.686999952304,195884.89999997616,195870.503,195887.113,232143.79999995232,232144.59999996424,2023-11-29T13:09:46.175Z,232155.819,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,207799.8599999523,24342,24327.589,24343.94,232143.79999995232,232150.79999995232,2023-11-29T13:09:46.181Z,232155.819,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,970.9809999523277,232151.29999995232,232139.338,232155.819,233126.79999995232,233127.69999998808,2023-11-29T13:09:47.158Z,233139.198,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,13305.701999976154,233128.39999997616,233122.801,233139.198,246444.89999997616,246445.39999997616,2023-11-29T13:10:00.476Z,246456.53,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,hengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,28213.56999996424,246445.69999998808,246440.026,246456.53,274670.09999996424,274671.2999999523,2023-11-29T13:10:28.702Z,274674.976,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,42514.28099996425,232151.09999996424,232139.338,232155.819,274670.09999996424,274672.1999999881,2023-11-29T13:10:28.703Z,274674.976,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1117.0239999999758,274672.6999999881,274658.305,274674.976,275792,275793.09999996424,2023-11-29T13:10:29.823Z,275809.237,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,12331.562999952293,275793.59999996424,275775.002,275809.237,288140.7999999523,288141.09999996424,2023-11-29T13:10:42.171Z,288142.178,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,luifel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,4649.221999976144,288141.1999999881,288125.574,288142.178,292791.39999997616,292792.1999999881,2023-11-29T13:10:46.823Z,292792.663,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,18116.423999976134,274672.5,274658.305,274674.976,292791.39999997616,292792.7999999523,2023-11-29T13:10:46.823Z,292792.663,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,38901.636999952316,292793.1999999881,292776.278,292792.663,331694.2999999523,331695,2023-11-29T13:11:25.726Z,331694.747,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,8370.052999952342,331695.39999997616,331678.34,331694.747,340064.7999999523,340065.1999999881,2023-11-29T13:11:34.096Z,340078.614,EZ92QXzTLg,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudoniem naar keuze,,,,,,,,,,,,,de kettingzaag,,,,,,,,,,,
