meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/65673785fa275e2b7bdedda3"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1232,""scroll_height"":598,""window_innerWidth"":1232,""window_innerHeight"":598,""devicePixelRatio"":1.5}",ID,html.Page,0,2,,form submission,4270.749,7707.300000071526,7425.614,7775.751,12046.5,12047.900000095367,2023-11-29T13:07:29.051Z,12067.83,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,640737,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,16005.270000023842,12048.600000023842,12021.297,12067.83,28073.100000023842,28073.300000071526,2023-11-29T13:07:45.077Z,28091.587,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,"Nederlands, Frans",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9368.313000095368,28073.600000023842,28057.917,28091.587,37459.90000009537,37460.300000071526,2023-11-29T13:07:54.464Z,37466.926,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,18,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,2218.7740000476842,37460.60000002384,37450.248,37466.926,39685.700000047684,39686,2023-11-29T13:07:56.689Z,39898.251,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,74879.84900002385,39686.10000002384,39681.732,39898.251,114778.10000002384,114778.40000009537,2023-11-29T13:09:11.782Z,114787.41,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,De twee eenden linksonderaan,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,6997.990000095364,114778.60000002384,114770.389,114787.41,121785.40000009537,121786.10000002384,2023-11-29T13:09:18.790Z,121814.973,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,84318.47400009536,37460.60000002384,37450.248,37466.926,121785.40000009537,121806.5,2023-11-29T13:09:18.810Z,121814.973,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,18215.527000000002,121807.20000004768,121781.793,121814.973,140030.5,140030.80000007153,2023-11-29T13:09:37.034Z,140183.107,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,20443.693000071537,140031,140016.404,140183.107,160626.80000007153,160627.10000002384,2023-11-29T13:09:57.631Z,160636.376,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,de vishengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,8436.12400000001,160627.30000007153,160616.267,160636.376,169072.5,169072.80000007153,2023-11-29T13:10:06.077Z,169077.225,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,47257.527,121807.10000002384,121781.793,121814.973,169072.5,169073.10000002384,2023-11-29T13:10:06.077Z,169077.225,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1149.6750000953616,169073.30000007153,169059.317,169077.225,170226.90000009537,170227.20000004768,2023-11-29T13:10:07.231Z,170491.533,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,32377.067000023846,170227.40000009537,170225.066,170491.533,202868.60000002384,202869.30000007153,2023-11-29T13:10:39.873Z,202881.776,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,de witte en rode strepen,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,5958.223999999987,202869.40000009537,202865.209,202881.776,208840,208840.40000009537,2023-11-29T13:10:45.844Z,208843.787,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,39762.774999999994,169073.30000007153,169059.317,169077.225,208840,208840.60000002384,2023-11-29T13:10:45.844Z,208843.787,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,1770.6130000953563,208840.80000007153,208826.859,208843.787,210614.40000009537,210614.60000002384,2023-11-29T13:10:47.618Z,210808.576,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,44998.62400004768,210614.70000004768,210608.72,210808.576,255807.20000004768,255807.5,2023-11-29T13:11:32.811Z,255821.769,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,de kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,2057.631000095367,255807.70000004768,255805.153,255821.769,257879.40000009537,257879.60000002384,2023-11-29T13:11:34.883Z,257887.663,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,49035.613000095356,208840.70000004768,208826.859,208843.787,257879.40000009537,257879.90000009537,2023-11-29T13:11:34.884Z,257887.663,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
