meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/65673734fa275e2b7bdedd80"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":563,""window_innerWidth"":1280,""window_innerHeight"":563,""devicePixelRatio"":1.5}",ID,html.Page,0,2,,form submission,3999.674,4970.900000095367,4899.187,4965.826,8965.5,8966,2023-11-29T13:06:05.130Z,8964.461,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,841035,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,24983.139000023843,8966.400000095367,8947.753,8964.461,33947.60000002384,33948,2023-11-29T13:06:30.112Z,33956.038,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9334.662000047683,33948.300000071526,33939.76,33956.038,43290.700000047684,43291.5,2023-11-29T13:06:39.456Z,43302.909,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,139660.19100002386,43292,43286.451,43302.909,182963.10000002384,182963.90000009537,2023-11-29T13:08:59.128Z,182972.301,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,8762.399000047677,182964.30000007153,182955.629,182972.301,191734.70000004768,191735.60000002384,2023-11-29T13:09:07.900Z,191735.991,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,36985.80900007152,191736.30000007153,191719.237,191735.991,228721.80000007153,228722.40000009537,2023-11-29T13:09:44.886Z,228723.432,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,185418.89100007154,43292,43286.451,43302.909,228721.80000007153,228728.60000002384,2023-11-29T13:09:44.893Z,228723.432,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1011.1680000238412,228729.10000002384,228706.838,228723.432,229734.60000002384,229735.20000004768,2023-11-29T13:09:45.899Z,229739.666,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,6527.834000000003,229735.60000002384,229723.129,229739.666,236267.5,236268.30000007153,2023-11-29T13:09:52.432Z,236270.824,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,vislijn,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,42483.87600004769,236268.80000007153,236254.255,236270.824,278754.7000000477,278755.7000000477,2023-11-29T13:10:34.920Z,278756.452,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,50031.26800004768,228729,228706.838,228723.432,278754.7000000477,278756.3000000715,2023-11-29T13:10:34.921Z,278756.452,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1278.7480000476935,278756.90000009537,278739.892,278756.452,280035.2000000477,280035.90000009537,2023-11-29T13:10:36.200Z,280039.274,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,29997.926000047708,280036.2000000477,280023.028,280039.274,310037.2000000477,310037.8000000715,2023-11-29T13:11:06.202Z,310045.753,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,winkels,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,1393.8470000238158,310038.2000000477,310028.998,310045.753,311439.60000002384,311440.10000002384,2023-11-29T13:11:07.604Z,311445.359,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,32683.14800002385,278756.7000000477,278739.892,278756.452,311439.60000002384,311440.60000002384,2023-11-29T13:11:07.605Z,311445.359,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,16877.04100009537,311440.90000009537,311428.717,311445.359,328322.40000009537,328323.3000000715,2023-11-29T13:11:24.488Z,328322.927,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,11048.072999999975,328323.7000000477,328306.346,328322.927,339371,339371.7000000477,2023-11-29T13:11:35.536Z,339369.135,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,1482.2650000953581,339371.90000009537,339352.634,339369.135,340851.40000009537,340851.90000009537,2023-11-29T13:11:37.016Z,340852.049,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,29406.04100009537,311440.8000000715,311428.717,311445.359,340851.40000009537,340852.60000002384,2023-11-29T13:11:37.017Z,340852.049,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,40276.151000047685,340853.2000000477,340835.494,340852.049,381128.2000000477,381128.8000000715,2023-11-29T13:12:17.293Z,381138.37,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,12625.43000007153,381129,381121.838,381138.37,393763.8000000715,393764.5,2023-11-29T13:12:29.929Z,393767.342,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,twee mannen die auto duwen,,,,,,,,,
,answer,html.Page,7_2,,,form submission,3551.657999999996,393764.8000000715,393750.883,393767.342,397319,397319.60000002384,2023-11-29T13:12:33.484Z,397332.857,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,56466.951,340853,340835.494,340852.049,397319,397320.3000000715,2023-11-29T13:12:33.485Z,397332.857,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,40164.243000023824,397320.7000000477,397316.474,397332.857,437497.10000002384,437497.60000002384,2023-11-29T13:13:13.662Z,437502.514,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,17323.2860000715,437497.90000009537,437485.771,437502.514,454825.8000000715,454826.5,2023-11-29T13:13:30.991Z,454830.061,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,rode strik voor de linkerbeer,,,,,,,
,answer,html.Page,8_2,,,form submission,2111.439000000013,454827.10000002384,454813.599,454830.061,456941.5,456941.90000009537,2023-11-29T13:13:33.107Z,456945.974,NUzJ6nPzcG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Ag,,,,,,,,,,,,,,,,,,,,,,,,
