meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565d2abfa275e2b7bded20b"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 16_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5.1 Mobile/15E148 Safari/604.1"",""platform"":""iPhone"",""language"":""it-IT"",""locale"":""it-IT"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":414,""screen_height"":896,""scroll_width"":980,""scroll_height"":1836,""window_innerWidth"":980,""window_innerHeight"":1693,""devicePixelRatio"":2}",ID,html.Page,0,2,,form submission,31378,1523.0000000000002,1526,1533,32911,32912,2023-11-29T13:06:10.235Z,32927,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,413657,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,9645,32913.00000000001,32918,32927,42572,42572,2023-11-29T13:06:19.895Z,42582,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,"Nederlands en Engels ",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8850,42573,42577,42582,51432,51433,2023-11-29T13:06:28.755Z,51445,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,151604,51433,51437,51445,203049,203050,2023-11-29T13:09:00.369Z,203131,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,8472,203050,203054,203131,211603,211604,2023-11-29T13:09:08.923Z,211622,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,"2 eenden ",,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,6103,211604,211612,211622,217725,217725,2023-11-29T13:09:15.044Z,217739,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,166280,51433,51437,51445,217725,217727,2023-11-29T13:09:15.046Z,217739,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,26134.00000000003,217727,217730,217739,243873.00000000003,243874,2023-11-29T13:09:41.192Z,243957,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,7317,243874,243879,243957,251274,251275,2023-11-29T13:09:48.593Z,251288,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,"vislijn ",,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,15143,251275,251278,251288,266431,266432,2023-11-29T13:10:03.749Z,266441,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,48692,217727,217730,217739,266431,266432,2023-11-29T13:10:03.750Z,266441,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,26949,266432,266434,266441,293390,293391,2023-11-29T13:10:30.708Z,293522,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,9889,293391,293394,293522,303411,303411,2023-11-29T13:10:40.728Z,303453,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,"de luifel ",,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,23168,303412.00000000006,303440,303453,326621,326622,2023-11-29T13:11:03.938Z,326636,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,60180,266432,266434,266441,326621,326622,2023-11-29T13:11:03.939Z,326636,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,25309,326622,326625,326636,351945,351946,2023-11-29T13:11:29.262Z,351975,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,7215,351946,351950,351975,359190,359190,2023-11-29T13:11:36.506Z,359202,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,"de man zaagt niet ",,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,21327,359191.00000000006,359194,359202,380529,380529,2023-11-29T13:11:57.844Z,380540,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,53893,326622,326625,326636,380529,380530.00000000006,2023-11-29T13:11:57.845Z,380540,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,21530,380530.00000000006,380532,380540,402070,402070,2023-11-29T13:12:19.385Z,402099,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,6155,402071,402074,402099,408254,408255,2023-11-29T13:12:25.570Z,408267,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,"de mannen die duwen ",,,,,,,,,
,answer,html.Page,7_2,,,form submission,25093,408255,408258,408267,433360,433361,2023-11-29T13:12:50.675Z,433370,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,52820,380530.00000000006,380532,380540,433360,433362,2023-11-29T13:12:50.676Z,433370,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,26414,433362,433364,433370,459784,459785,2023-11-29T13:13:17.098Z,459817,hWeSgYDxpD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,simone dbv,,,,,,,,,,,,,,,,,,,,,,,,
