meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6567376afa275e2b7bdedd98"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":706,""window_innerWidth"":1536,""window_innerHeight"":754,""devicePixelRatio"":1.25}",ID,html.Page,0,2,,form submission,6420.085000095368,6356.5,6263.822,6363.815,12783.900000095367,12784.5,2023-11-29T13:07:04.213Z,12812.915,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,135322,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,14357.884999952315,12785,12796.251,12812.915,27170.799999952316,27171.599999904633,2023-11-29T13:07:18.600Z,27177.784,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7325.416000047684,27172.200000047684,27161.051,27177.784,34503.200000047684,34503.799999952316,2023-11-29T13:07:25.932Z,34510.09,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,94617.11000004769,34504.200000047684,34493.609,34510.09,129127.20000004768,129127.70000004768,2023-11-29T13:09:00.555Z,129131.058,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,7533.041999904628,129127.90000009537,129114.31,129131.058,136664.09999990463,136664.79999995232,2023-11-29T13:09:08.092Z,136663.511,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,37223.489,136665.09999990463,136646.683,136663.511,173887,173887.5,2023-11-29T13:09:45.315Z,173891.891,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,139376.91,34504.09999990463,34493.609,34510.09,173887,173891,2023-11-29T13:09:45.318Z,173891.891,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1270.2089999046293,173891.29999995232,173874.986,173891.891,175162.09999990463,175162.59999990463,2023-11-29T13:09:46.590Z,175174.591,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,6605.008999904647,175162.70000004768,175157.95,175174.591,181779.59999990463,181780.70000004768,2023-11-29T13:09:53.208Z,181791.335,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,vislijn,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,37239.16500000001,181781,181773.916,181791.335,219030.5,219031,2023-11-29T13:10:30.459Z,219052.338,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,45138.609,173891.09999990463,173874.986,173891.891,219030.5,219031.5,2023-11-29T13:10:30.460Z,219052.338,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1695.4619999523275,219031.70000004768,219035.76,219052.338,220747.79999995232,220748.20000004768,2023-11-29T13:10:32.176Z,220751.922,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,6195.778000047692,220748.5,220735.453,220751.922,226947.70000004768,226949,2023-11-29T13:10:38.377Z,226951.389,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,luifel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,50980.31100004769,226949.29999995232,226934.334,226951.389,277931.7000000477,277933,2023-11-29T13:11:29.360Z,277944.344,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,58879.362000047695,219031.59999990463,219035.76,219052.338,277931.7000000477,277933.2999999523,2023-11-29T13:11:29.360Z,277944.344,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,1107.2559999046498,277933.5,277927.526,277944.344,279051.59999990463,279052.09999990463,2023-11-29T13:11:30.479Z,279061.062,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,11178.73799995234,279052.40000009537,279043.983,279061.062,290239.7999999523,290240.2000000477,2023-11-29T13:11:41.667Z,290242.666,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,39996.33399999997,290240.5,290226.078,290242.666,330239,330239.5,2023-11-29T13:12:21.666Z,330253.904,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,52294.65600000002,277933.5,277927.526,277944.344,330239,330239.7000000477,2023-11-29T13:12:21.667Z,330253.904,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,597.5960000000196,330239.90000009537,330237.855,330253.904,330851.5,330851.7999999523,2023-11-29T13:12:22.279Z,330854.393,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,18893.20699990465,330851.90000009537,330837.495,330854.393,349747.59999990463,349747.90000009537,2023-11-29T13:12:41.176Z,349767.926,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,er is maar 1 man,,,,,,,,,
,answer,html.Page,7_2,,,form submission,34181.37399995234,349748.2000000477,349751.344,349767.926,383949.2999999523,383950,2023-11-29T13:13:15.378Z,383963.61,kDGgNQ3VSK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,marie,,,,,,,,,,,,,,,,,,,,,,,,
