meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/65673718fa275e2b7bdedd6d"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""en-GB"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":595,""window_innerWidth"":1280,""window_innerHeight"":595,""devicePixelRatio"":1.5}",ID,html.Page,0,2,,form submission,3497.2290000089406,1596.2999999970198,1553.089,1586.371,5083.600000008941,5084.4000000059605,2023-11-29T13:05:34.123Z,5086.544,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,559168,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,28352.15600000298,5084.70000000298,5070.092,5086.544,33438.70000000298,33439.10000000894,2023-11-29T13:06:02.478Z,33453.238,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,"Nederlands ",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,18187.462000002983,33439.40000000596,33436.75,33453.238,51640.70000000298,51641.10000000894,2023-11-29T13:06:20.675Z,51653.263,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,,,19,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,160672.63700000595,51641.40000000596,51636.631,51653.263,212325.90000000596,212326.20000000298,2023-11-29T13:09:01.357Z,212336.287,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,8377.712999999989,212326.5,212319.879,212336.287,220714,220714.29999999702,2023-11-29T13:09:09.745Z,220719.56,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,,,,,,"eenden ",,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,4948.739999997022,220714.5,220703.079,220719.56,225668.29999999702,225668.5,2023-11-29T13:09:14.700Z,225669.68,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,174015.036999997,51641.29999999702,51636.631,51653.263,225668.29999999702,225671.70000000298,2023-11-29T13:09:14.703Z,225669.68,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,26858.119999997027,225671.90000000596,225653.282,225669.68,252527.79999999702,252528.20000000298,2023-11-29T13:09:41.559Z,252536.258,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,22408.14200000596,252528.40000000596,252519.916,252536.258,274944.40000000596,274944.700000003,2023-11-29T13:10:03.979Z,274952.94,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,,,,,,,,visnet,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,5337.160000008938,274944.799999997,274936.538,274952.94,280290.10000000894,280290.5,2023-11-29T13:10:09.325Z,280303.078,pAK1noX_i9,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,emielcl1,,,,,,,,,,,,,,,,,,,,,,,,
