meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/65673730fa275e2b7bdedd7a"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":585,""window_innerWidth"":1366,""window_innerHeight"":633,""devicePixelRatio"":1}",ID,html.Page,0,2,,form submission,4477.687,4548.399999976158,4488.346,4538.313,9016,9017.100000023842,2023-11-29T13:07:00.728Z,9033.968,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,246458,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,13509.931999976157,9017.899999976158,9000.908,9033.968,22543.899999976158,22544.399999976158,2023-11-29T13:07:14.255Z,22554.072,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7580.528000023842,22544.799999952316,22537.659,22554.072,30134.600000023842,30135.199999928474,2023-11-29T13:07:21.846Z,30146.736,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,97547.56399995231,30135.600000023842,30130.221,30146.736,127694.29999995232,127694.89999997616,2023-11-29T13:08:59.406Z,127700.972,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,7430.72799992848,127695.19999992847,127684.315,127700.972,135131.69999992847,135132.29999995232,2023-11-29T13:09:06.843Z,135143.812,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,36754.88799992847,135132.60000002384,135127.314,135143.812,171898.69999992847,171899.19999992847,2023-11-29T13:09:43.610Z,171907.835,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,141751.96399992847,30135.5,30130.221,30146.736,171898.69999992847,171902.10000002384,2023-11-29T13:09:43.613Z,171907.835,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1549.3649999284826,171902.29999995232,171891.306,171907.835,173457.19999992847,173457.60000002384,2023-11-29T13:09:45.168Z,173472.805,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,6407.695000000007,173458,173456.487,173472.805,179880.5,179881.10000002384,2023-11-29T13:09:51.592Z,179883.133,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,de vishengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,40974.96700002384,179881.5,179866.682,179883.133,220858.10000002384,220858.69999992847,2023-11-29T13:10:32.570Z,220859.686,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,48950.26500002385,171902.19999992847,171891.306,171907.835,220858.10000002384,220859.19999992847,2023-11-29T13:10:32.571Z,220859.686,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,988.9140000238549,220859.60000002384,220843.281,220859.686,221848.60000002384,221849.10000002384,2023-11-29T13:10:33.561Z,221858.724,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,14557.17599997617,221849.39999997616,221842.368,221858.724,236415.89999997616,236416.60000002384,2023-11-29T13:10:48.128Z,236427.775,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,de luifel met witte en rode strepen,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,44502.725000000006,236416.79999995232,236411.372,236427.775,280930.5,280931.10000002384,2023-11-29T13:11:32.641Z,280934.163,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,60070.81400000001,220859.5,220843.281,220859.686,280930.5,280931.39999997616,2023-11-29T13:11:32.642Z,280934.163,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,1273.4370000238414,280931.6999999285,280917.503,280934.163,282207.60000002384,282208,2023-11-29T13:11:33.918Z,282216.247,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,8439.353000023868,282208.2999999523,282199.925,282216.247,290655.60000002384,290656,2023-11-29T13:11:42.366Z,290657.981,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,de omheining,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,2331.619000023813,290656.2999999523,290641.373,290657.981,292989.60000002384,292989.89999997616,2023-11-29T13:11:44.700Z,293005.951,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,12055.437000023841,280931.60000002384,280917.503,280934.163,292989.60000002384,292990.2999999523,2023-11-29T13:11:44.701Z,293005.951,ywdc614XR_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Tine,,,,,,,,,,,,,,,,,,,,,,,,
