meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5d9fa275e2b7bdef749"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":958,""scroll_height"":893,""window_innerWidth"":958,""window_innerHeight"":941,""devicePixelRatio"":1}",ID,html.Page,0,4,,form submission,3390.9740000953675,1625.4000000953674,1588.089,1621.426,5012.400000095367,5016.900000095367,2023-12-04T10:11:42.816Z,5021.716,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,615849,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,58311.18400009537,5017.200000047684,5005.085,5021.716,63332.90000009537,63341.60000002384,2023-12-04T10:12:41.141Z,63341.682,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9143.818,63341.800000071526,63325.115,63341.682,72485.5,72496.5,2023-12-04T10:12:50.295Z,72492.218,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,23,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,90007.58200007153,72496.80000007153,72475.544,72492.218,162499.80000007153,162508.90000009537,2023-12-04T10:14:20.308Z,162514.001,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,11178.899000095378,162508.90000009537,162497.336,162514.001,173692.90000009537,173701.60000002384,2023-12-04T10:14:31.501Z,173714.711,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,"de eenden ",,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,61164.88900002383,173701.70000004768,173697.896,173714.711,234879.60000002384,234888.20000004768,2023-12-04T10:15:32.687Z,234884.866,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,162387.38200002385,72496.70000004768,72475.544,72492.218,234879.60000002384,234889.40000009537,2023-12-04T10:15:32.688Z,234884.866,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1350.3340000476746,234889.70000004768,234868.666,234884.866,236235.20000004768,236240.10000002384,2023-12-04T10:15:34.039Z,236251.959,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,6666.040999999997,236240.20000004768,236219.009,236251.959,242918,242926.30000007153,2023-12-04T10:15:40.725Z,242918.517,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,de hengel van de visser,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,41837.98300000001,242926.30000007153,242902.199,242918.517,284756.5,284763.90000009537,2023-12-04T10:16:22.563Z,284770.882,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,49871.63399999999,234889.60000002384,234868.666,234884.866,284756.5,284763.90000009537,2023-12-04T10:16:22.563Z,284770.882,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,630.8180000477005,284764,284754.312,284770.882,285401.7000000477,285408,2023-12-04T10:16:23.207Z,285404.25,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,5505.950000047684,285408.10000002384,285387.643,285404.25,290910.2000000477,290918.5,2023-12-04T10:16:28.717Z,290921.254,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,de luifel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,15834.946000047668,290918.5,290904.352,290921.254,306756.2000000477,306764.5,2023-12-04T10:16:44.564Z,306774.292,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,21985.3180000477,284764,284754.312,284770.882,306756.2000000477,306764.7000000477,2023-12-04T10:16:44.564Z,306774.292,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,7567.207999999984,306764.7000000477,306739.053,306774.292,314341.5,314345.60000002384,2023-12-04T10:16:52.145Z,314356.053,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,20204.14700004767,314345.7000000477,314339.42,314356.053,334560.2000000477,334566.10000002384,2023-12-04T10:17:12.365Z,334573.941,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,12594.059000000008,334566.10000002384,334556.783,334573.941,347168,347174.40000009537,2023-12-04T10:17:24.974Z,347191.165,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,40393.707999999984,306764.7000000477,306739.053,306774.292,347168,347174.60000002384,2023-12-04T10:17:24.974Z,347191.165,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,37620.035000047705,347174.7000000477,347174.459,347191.165,384811.2000000477,384816.2000000477,2023-12-04T10:18:02.615Z,384826.659,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,7606.941000023857,384816.2000000477,384810.206,384826.659,392433.60000002384,392439.40000009537,2023-12-04T10:18:10.238Z,392443.696,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,de twee mannen die de auto duwen,,,,,,,,,
,answer,html.Page,7_2,,,form submission,3574.0040000476874,392439.5,392428.892,392443.696,396017.7000000477,396021.2000000477,2023-12-04T10:18:13.820Z,396027.288,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,48826.535000047705,347174.7000000477,347174.459,347191.165,396017.7000000477,396021.3000000715,2023-12-04T10:18:13.820Z,396027.288,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,44239.31200002384,396021.40000009537,396012.904,396027.288,440266.60000002384,440275.2000000477,2023-12-04T10:18:58.074Z,440279.835,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,6141.5650000953465,440275.3000000715,440264.467,440279.835,446421.40000009537,446427,2023-12-04T10:19:04.225Z,446430.258,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,rode strik van de beer,,,,,,,
,answer,html.Page,8_2,,,form submission,24718.542000071553,446427,446413.26,446430.258,471148.8000000715,471153.7000000477,2023-12-04T10:19:28.952Z,471166.43,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,75121.51200007153,396021.40000009537,396012.904,396027.288,471148.8000000715,471153.8000000715,2023-12-04T10:19:28.952Z,471166.43,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,33800.27000004769,471153.90000009537,471147.903,471166.43,504966.7000000477,504972.8000000715,2023-12-04T10:20:02.772Z,504983.844,0vaJR9NWnV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Elise,,,,,,,,,,,,,,,,,,,,,,,,
