meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5f3fa275e2b7bdef77f"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""nl-NL"",""locale"":""nl-NL"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1251,""scroll_height"":687,""window_innerWidth"":1251,""window_innerHeight"":735,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,3360,2986,2994,3027,6387,6388,2023-12-04T10:12:09.628Z,6427,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,341880,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,9240,6388,6394,6427,15667,15668.000000000002,2023-12-04T10:12:18.907Z,15710,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6058,15668.000000000002,15677,15710,21768,21769.000000000004,2023-12-04T10:12:25.008Z,21827,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,21,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,109847,21769.000000000004,21794,21827,131674,131675,2023-12-04T10:14:14.908Z,131724,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,10977,131675,131679,131724,142701,142701,2023-12-04T10:14:25.933Z,142747,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,De twee eenden,De twee eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,34557,142701,142713,142747,177304,177305,2023-12-04T10:15:00.535Z,177348,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,155477,21769.000000000004,21794,21827,177304,177306,2023-12-04T10:15:00.536Z,177348,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,31690,177306,177314,177348,209038,209038,2023-12-04T10:15:32.266Z,209106,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,7796.000000000029,209038,209065,209106,216902.00000000003,216902.00000000003,2023-12-04T10:15:40.130Z,216965,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,visser,visser,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,42239.99999999997,216902.00000000003,216932,216965,259204.99999999997,259206.00000000003,2023-12-04T10:16:22.431Z,259250,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,81856.99999999997,177306,177314,177348,259204.99999999997,259206.00000000003,2023-12-04T10:16:22.432Z,259250,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,2389,259206.00000000003,259216,259250,261639,261639,2023-12-04T10:16:24.865Z,261683,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,9837,261640,261649,261683,271520,271520,2023-12-04T10:16:34.745Z,271566,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,Luifel met witte & rode strepen,Luifel met witte & rode strepen,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,14256,271520,271533,271566,285822,285822,2023-12-04T10:16:49.046Z,285867,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,26572,259206.00000000003,259216,259250,285822,285823,2023-12-04T10:16:49.047Z,285867,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,24156,285823,285833,285867,310023,310023,2023-12-04T10:17:13.246Z,310097,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,4224,310023,310034,310097,314321,314321,2023-12-04T10:17:17.544Z,314384,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,45224,314321,314351,314384,359608,359608,2023-12-04T10:18:02.828Z,359652,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,73741,285823,285833,285867,359608,359609,2023-12-04T10:18:02.829Z,359652,6Ea8n9l2nv,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Charline,,,,,,,,,,,,,,,,,,,,,,,,
