meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5f2fa275e2b7bdef77a"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":563,""window_innerWidth"":1280,""window_innerHeight"":563,""devicePixelRatio"":1.5}",ID,html.Page,0,4,,form submission,2900.2059999284747,2026.3999999761581,1978.975,2028.994,4929.199999928474,4930.399999976158,2023-12-04T10:12:07.361Z,4928.639,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,982391,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,11888.060999928475,4930.699999928474,4913.132,4928.639,16816.699999928474,16817.299999952316,2023-12-04T10:12:19.248Z,16827.006,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6611.393999976157,16817.600000023842,16810.284,16827.006,23438.399999976158,23438.899999976158,2023-12-04T10:12:25.869Z,23442.787,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,21,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,110003.41299992848,23439.399999976158,23426.424,23442.787,133446.19999992847,133447.60000002384,2023-12-04T10:14:15.872Z,133461.898,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,17246.702000023855,133447.89999997616,133445.352,133461.898,150708.60000002384,150709,2023-12-04T10:14:33.134Z,150709.752,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,eenden,eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,57781.64799997615,150709.19999992847,150693.269,150709.752,208491.39999997616,208492.69999992847,2023-12-04T10:15:30.922Z,208502.175,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,185048.61299997615,23439.299999952316,23426.424,23442.787,208491.39999997616,208497.29999995232,2023-12-04T10:15:30.926Z,208502.175,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1257.3250000000116,208497.60000002384,208485.609,208502.175,209759.5,209760.10000002384,2023-12-04T10:15:32.189Z,209768.665,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,13853.034999928466,209760.5,209753.283,209768.665,223621.69999992847,223622.69999992847,2023-12-04T10:15:46.054Z,223633.541,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,Vishengel,Vishengel,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,40395.35899997616,223623.19999992847,223617.073,223633.541,264028.89999997616,264030.10000002384,2023-12-04T10:16:26.462Z,264045.229,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,55526.72499997617,208497.5,208485.609,208502.175,264028.89999997616,264030.6999999285,2023-12-04T10:16:26.462Z,264045.229,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,530.0709999523242,264031.10000002384,264028.522,264045.229,264575.2999999523,264576,2023-12-04T10:16:27.008Z,264578.265,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,6201.335000023828,264576.2999999523,264561.722,264578.265,270779.60000002384,270780.1999999285,2023-12-04T10:16:33.212Z,270811.012,7WqJZYu11x,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,EV,,,,,,,,,,,Luifel,Luifel,,,,,,,,,,,,
