meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5e0fa275e2b7bdef74f"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""nl"",""locale"":""nl-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1488,""scroll_height"":694,""window_innerWidth"":1488,""window_innerHeight"":742,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,4931.959999809265,1301.7999997138977,1268.849,1302.24,6234.199999809265,6234.799999713898,2023-12-04T10:11:53.308Z,6234.967,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,803919,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,43102.43300009537,6235.199999809265,6218.353,6234.967,49337.40000009537,49337.699999809265,2023-12-04T10:12:36.411Z,49345.779,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6833.520999713895,49338,49329.547,49345.779,56179.2999997139,56179.59999990463,2023-12-04T10:12:43.253Z,56195.017,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,23,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,98138.08299990464,56179.7999997139,56161.856,56195.017,154333.09999990463,154333.5,2023-12-04T10:14:21.407Z,154348.41,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,22935.089999999997,154333.69999980927,154331.859,154348.41,177283.5,177283.59999990463,2023-12-04T10:14:44.357Z,177295.25,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,eenden,eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,5154.650000095367,177283.69999980927,177278.827,177295.25,182449.90000009537,182450.19999980927,2023-12-04T10:14:49.523Z,182461.212,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,126254.88300009537,56179.7999997139,56161.856,56195.017,182449.90000009537,182453,2023-12-04T10:14:49.526Z,182461.212,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,44318.0879997139,182453.09999990463,182444.779,182461.212,226779.2999997139,226779.69999980927,2023-12-04T10:15:33.853Z,226789.027,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,14363.272999713896,226780,226772.021,226789.027,241152.2999997139,241152.69999980927,2023-12-04T10:15:48.226Z,241153.32,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,De vislijn,De vislijn,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3478.379999809258,241152.90000009537,241136.879,241153.32,244631.69999980927,244632,2023-12-04T10:15:51.705Z,244636.17,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,62170.487999809266,182453.09999990463,182444.779,182461.212,244631.69999980927,244632.2999997139,2023-12-04T10:15:51.705Z,244636.17,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,36134.82999999999,244632.5,244619.557,244636.17,280771,280771.2999997139,2023-12-04T10:16:27.844Z,280781.38,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,19962.119999999995,280771.5,280764.798,280781.38,300743.5,300743.7999997139,2023-12-04T10:16:47.817Z,300745.291,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,De luifel met witte en rode strepen,De luifel met witte en rode strepen,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,2418.308999904606,300744,300728.732,300745.291,303163.59999990463,303164,2023-12-04T10:16:50.237Z,303178.409,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,58527.42999990462,244632.40000009537,244619.557,244636.17,303163.59999990463,303164.19999980927,2023-12-04T10:16:50.237Z,303178.409,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,25108.890999713913,303164.2999997139,303161.759,303178.409,328287.2999997139,328287.69999980927,2023-12-04T10:17:15.361Z,328291.536,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,13709.663999809243,328287.90000009537,328274.991,328291.536,342001.19999980927,342001.40000009537,2023-12-04T10:17:29.075Z,342023.327,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,De kettingzaag,De kettingzaag,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,1795.6730000000098,342001.59999990463,342006.531,342023.327,343819,343819.19999980927,2023-12-04T10:17:30.892Z,343822.813,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,40640.591000000015,303164.2999997139,303161.759,303178.409,343819,343819.40000009537,2023-12-04T10:17:30.893Z,343822.813,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,37707.78699990461,343819.5,343806.305,343822.813,381530.59999990463,381530.90000009537,2023-12-04T10:18:08.604Z,381534.497,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,17312.20299980929,381531.09999990463,381518.305,381534.497,398846.69999980927,398847,2023-12-04T10:18:25.920Z,398865.552,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,De twee mannen die de auto duwen,De twee mannen die de auto duwen,,,,,,,,
,answer,html.Page,7_2,,,form submission,1992.5479999046074,398847.09999990463,398848.758,398865.552,400858.09999990463,400858.40000009537,2023-12-04T10:18:27.931Z,400865.243,8E4TsfI2uV,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Justine,,,,,,,,,,,,,,,,,,,,,,,,
