meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5f2fa275e2b7bdef778"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":691,""window_innerWidth"":1536,""window_innerHeight"":739,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,4439.273999952316,3788.5,3701.256,3784.526,8223.799999952316,8224.5,2023-12-04T10:12:09.403Z,8233.778,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,538511,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,26988.62199985695,8224.899999856949,8217.292,8233.778,35222.39999985695,35223,2023-12-04T10:12:36.402Z,35228.98,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,5489.2200000476805,35223.200000047684,35212.453,35228.98,40718.200000047684,40718.59999990463,2023-12-04T10:12:41.898Z,40728.045,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,,,23,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,93875.75499995232,40718.89999985695,40711.461,40728.045,134603.79999995232,134604.09999990463,2023-12-04T10:14:15.782Z,134611.536,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,17981.06399990464,134604.29999995232,134595.094,134611.536,152592.59999990463,152593.09999990463,2023-12-04T10:14:33.771Z,152608.394,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,,,,,,"twee eenden ",twee eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,56524.905999952316,152593.29999995232,152591.792,152608.394,209133.29999995232,209133.5,2023-12-04T10:15:30.313Z,209148.593,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,168405.25499995233,40718.89999985695,40711.461,40728.045,209133.29999995232,209136.20000004768,2023-12-04T10:15:30.315Z,209148.593,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,2646.206999952323,209136.39999985695,209131.893,209148.593,211794.79999995232,211795.09999990463,2023-12-04T10:15:32.974Z,211798.019,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,10877.080999904632,211795.39999985695,211781.54,211798.019,222675.09999990463,222675.5,2023-12-04T10:15:43.855Z,222679.402,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,,,,,,,,vislijn,"vislijn ",,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,18146.997999856947,222675.70000004768,222662.9,222679.402,240826.39999985695,240826.79999995232,2023-12-04T10:16:02.006Z,240826.25,9_OW61OIMG,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Delphine,,,,,,,,,,,,,,,,,,,,,,,,
