meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da60efa275e2b7bdef7ad"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""nl-NL"",""locale"":""nl-NL"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,3053,1767.0000000000002,1780,1799,4852,4852,2023-12-04T10:12:34.733Z,4863,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,329196,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,19337,4853,4857,4863,24200,24200,2023-12-04T10:12:54.081Z,24216,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,Engels,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7796.999999999996,24201,24206,24216,32012.999999999996,32012.999999999996,2023-12-04T10:13:01.893Z,32028,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,71860,32012.999999999996,32015,32028,103888,103888,2023-12-04T10:14:13.765Z,103963,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,28075,103888,103891,103963,132038,132039.00000000003,2023-12-04T10:14:41.915Z,132062,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,,,,,,de twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,21988,132039.00000000003,132041,132062,154050,154050,2023-12-04T10:15:03.926Z,154063,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,122022,32012.999999999996,32015,32028,154050,154050,2023-12-04T10:15:03.926Z,154063,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,22403,154050,154052,154063,176466,176466,2023-12-04T10:15:26.341Z,176532,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,36176,176466,176470,176532,212708,212709,2023-12-04T10:16:02.582Z,212724,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3195,212709,212711,212724,215919,215920.00000000003,2023-12-04T10:16:05.793Z,215940,BSBDvLgHlF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,A,,,,,,,,,,,,,,,,,,,,,,,,
