meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5e8fa275e2b7bdef75e"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""nl-NL"",""locale"":""nl-NL"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1470,""screen_height"":956,""scroll_width"":1470,""scroll_height"":792,""window_innerWidth"":1470,""window_innerHeight"":840,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,4712,1544,1553,1570,6282,6283,2023-12-04T10:11:58.279Z,6303,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",244551,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,17428,6283,6288,6303,23731,23731,2023-12-04T10:12:15.727Z,23753,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,"Nederlands ",MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8915,23732,23736,23753,32668,32668,2023-12-04T10:12:24.664Z,32686,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,,,23,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,58403,32669.000000000004,32672,32686,91089,91090,2023-12-04T10:13:23.086Z,91149,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,76931,91090,91103,91149,168080,168081.00000000003,2023-12-04T10:14:40.077Z,168103,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,,,,,,"De 2 eendjes ",,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,51749,168081.00000000003,168086,168103,219852,219857,2023-12-04T10:15:31.854Z,219886,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,187166,32669.000000000004,32672,32686,219852,219859,2023-12-04T10:15:31.856Z,219886,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1702,219860,219869,219886,221588,221588,2023-12-04T10:15:33.584Z,221653,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,6923,221588,221603,221653,228576,228576,2023-12-04T10:15:40.573Z,228602,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,,,,,,,,"er is geen vishengel ",,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,41854,228576,228586,228602,270456,270457,2023-12-04T10:16:22.454Z,270486,KKNsslL1ji,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Margaux ",,,,,,,,,,,,,,,,,,,,,,,,
