meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5fdfa275e2b7bdef79d"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0"",""platform"":""Win32"",""language"":""nl"",""locale"":""nl-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1408,""screen_height"":792,""scroll_width"":1408,""scroll_height"":598,""window_innerWidth"":1408,""window_innerHeight"":646,""devicePixelRatio"":1.3636363636363635}",ID,html.Page,0,4,,form submission,2960.9,1817,1811.44,1828.1,4789,4789,2023-12-04T10:12:18.475Z,4793.8,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,407426,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,23584.2,4789,4778.34,4793.8,28378,28380,2023-12-04T10:12:42.066Z,28385.8,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8660.2,28381,28371.96,28385.8,37046,37048,2023-12-04T10:12:50.733Z,37049.56,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,23,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,87447.44,37048,37040.44,37049.56,124497,124502,2023-12-04T10:14:18.187Z,124503.42,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,6203.580000000002,124504,124487,124503.42,130707,130708,2023-12-04T10:14:24.393Z,130717.94,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,Eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,67980.06,130708,130701.98,130717.94,198698,198699,2023-12-04T10:15:32.385Z,198695.02,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,161648.44,37048,37040.44,37049.56,198698,198700,2023-12-04T10:15:32.386Z,198695.02,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1284.9800000000105,198701,198691.7,198695.02,199980,199981,2023-12-04T10:15:33.667Z,199977.98,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,10342.01999999999,199982,199974.4,199977.98,210320,210321,2023-12-04T10:15:44.006Z,210324.44,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,"vislijn ",,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,39442.56,210321,210318.6,210324.44,249767,249768,2023-12-04T10:16:23.455Z,249777.76,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,51071.98000000001,198701,198691.7,198695.02,249767,249769,2023-12-04T10:16:23.455Z,249777.76,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1268.2399999999907,249771,249762.7,249777.76,251046,251047,2023-12-04T10:16:24.733Z,251060.66,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,8125.3399999999965,251047,251044.46,251060.66,259186,259187,2023-12-04T10:16:32.873Z,259191.32,ORpVGxEctr,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sigrid,,,,,,,,,,,"luifel met witte en rode strepen ",,,,,,,,,,,,,
