meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5f4fa275e2b7bdef781"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0"",""platform"":""Win32"",""language"":""nl"",""locale"":""nl-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":691,""window_innerWidth"":1536,""window_innerHeight"":739,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,5654.64,5011,5010.78,5012.36,10667,10669,2023-12-04T10:12:15.046Z,10662.66,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,958433,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,17403.34,10669,10659.14,10662.66,28066,28066,2023-12-04T10:12:32.444Z,28063.7,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9627.3,28066,28062.38,28063.7,37691,37691,2023-12-04T10:12:42.069Z,37697.6,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,97413.4,37692,37689.3,37697.6,135111,135113,2023-12-04T10:14:19.491Z,135119.54,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,15073.459999999992,135114,135107.86,135119.54,150193,150194,2023-12-04T10:14:34.571Z,150203.76,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,,,,,,twee eenden in de vijver,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,31777.23999999999,150194,150190.38,150203.76,181981,181981,2023-12-04T10:15:06.359Z,181988.82,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,144283.4,37691,37689.3,37697.6,181981,181982,2023-12-04T10:15:06.360Z,181988.82,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,175.17999999999302,181982,181979.14,181988.82,182164,182164,2023-12-04T10:15:06.543Z,182172.16,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,60008.84,182164,182162.16,182172.16,242181,242182,2023-12-04T10:16:06.560Z,242192.26,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,1817.7399999999907,242182,242180.14,242192.26,244010,244010,2023-12-04T10:16:08.388Z,244025.62,S7fEkl4y2H,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Amber,,,,,,,,,,,,,,,,,,,,,,,,
