meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656861edfa275e2b7bdee312"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""nl-NL"",""locale"":""nl-NL"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1337,""scroll_height"":705,""window_innerWidth"":1337,""window_innerHeight"":753,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,3875,1046,1059,1109,4984,4985,2023-12-04T10:12:09.854Z,5009,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,869067,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,35407.00000000001,4985,4990,5009,40416.00000000001,40417,2023-12-04T10:12:45.284Z,40443,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,16942,40417,40421,40443,57385,57385,2023-12-04T10:13:02.252Z,57393,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,80774,57385,57387,57393,138167,138167,2023-12-04T10:14:23.032Z,138228,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,10790,138167,138170,138228,149018,149018,2023-12-04T10:14:33.883Z,149045,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,"Twee eenden ",,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,5822,149018,149021,149045,154867,154868,2023-12-04T10:14:39.732Z,154878,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,97474,57385,57387,57393,154867,154869,2023-12-04T10:14:39.733Z,154878,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,58406,154869,154872,154878,213284,213285,2023-12-04T10:15:38.147Z,213363,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,8286,213285,213290,213363,221649,221650,2023-12-04T10:15:46.512Z,221663,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,vislijn,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,9189,221650,221651,221663,230852,230853,2023-12-04T10:15:55.715Z,230863,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,75974,154869,154872,154878,230852,230853,2023-12-04T10:15:55.715Z,230863,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,25007,230853,230856,230863,255870,255870,2023-12-04T10:16:20.732Z,256014,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,14871,255870,255874,256014,270885,270885,2023-12-04T10:16:35.746Z,270914,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,Rode strepen op luik van café,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,5607,270885,270886,270914,276521,276522,2023-12-04T10:16:41.382Z,276531,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,45658,230853,230856,230863,276521,276522,2023-12-04T10:16:41.383Z,276531,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,28289,276522,276524,276531,304820,304820,2023-12-04T10:17:09.680Z,304898,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,5804,304821,304826,304898,310702,310702,2023-12-04T10:17:15.562Z,310748,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,Kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,22706,310702,310704,310748,333454,333454,2023-12-04T10:17:38.314Z,333482,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,56923,276522,276524,276531,333454,333455,2023-12-04T10:17:38.314Z,333482,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,28089,333455,333458,333482,361571,361572,2023-12-04T10:18:06.430Z,361666,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,16187,361572,361575,361666,377853,377854,2023-12-04T10:18:22.711Z,377883,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,Derde persoon,,,,,,,,,
,answer,html.Page,7_2,,,form submission,10206,377854,377855,377883,388089,388089,2023-12-04T10:18:32.947Z,388117,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,54607,333455,333458,333482,388089,388089,2023-12-04T10:18:32.947Z,388117,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,24105.00000000006,388089,388091,388117,412222.00000000006,412222.00000000006,2023-12-04T10:18:57.079Z,412267,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,8907.000000000058,412223,412225,412267,421174.00000000006,421174.00000000006,2023-12-04T10:19:06.031Z,421200,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,Rode strik,,,,,,,
,answer,html.Page,8_2,,,form submission,2140.000000000058,421175,421176,421200,423340.00000000006,423340.00000000006,2023-12-04T10:19:08.197Z,423367,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,35223.00000000006,388089,388091,388117,423340.00000000006,423341,2023-12-04T10:19:08.197Z,423367,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,44887,423341,423344,423367,468254,468255,2023-12-04T10:19:53.110Z,468335,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,18571,468255,468259,468335,486906,486906,2023-12-04T10:20:11.761Z,486935,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,/,,,,,
,answer,html.Page,9_2,,,form submission,3505,486906,486908,486935,490440,490440,2023-12-04T10:20:15.295Z,490452,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,67073,423341,423344,423367,490440,490441.00000000006,2023-12-04T10:20:15.295Z,490452,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,32640,490441.00000000006,490444,490452,523092,523092.99999999994,2023-12-04T10:20:47.946Z,523168,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,5340,523092.99999999994,523098,523168,528508,528509,2023-12-04T10:20:53.362Z,528519,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,Geen kind met fiets,,,
,answer,html.Page,10_2,,,form submission,3422,528509,528511,528519,531941,531941,2023-12-04T10:20:56.794Z,531952,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,park1,flow.Sequence,10,,,completion,41489,490441.00000000006,490444,490452,531941,531941,2023-12-04T10:20:56.795Z,531952,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,11_0,,,form submission,48824.00000000012,531941,531943,531952,580776.0000000001,580776.0000000001,2023-12-04T10:21:45.628Z,580887,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,park2-image,html.Page,11_1,,,form submission,14487,580777,580780,580887,595374,595374,2023-12-04T10:22:00.225Z,595404,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,de tweede bloembak met witte bloemen,
,answer,html.Page,11_2,,,form submission,8138,595374,595375,595404,603542,603542,2023-12-04T10:22:08.394Z,603571,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,park2,flow.Sequence,11,,,completion,71590,531941,531943,531952,603542,603543,2023-12-04T10:22:08.394Z,603571,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
,bedankt,html.Page,12,,,timeout,3000,603543,603545,603571,606537,606539,2023-12-04T10:22:11.390Z,606571,T2DeG2M5-o,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Manon,,,,,,,,,,,,,,,,,,,,,,,,
