meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5e4fa275e2b7bdef759"",""userAgent"":""Mozilla/5.0 (Android 13; Mobile; rv:120.0) Gecko/120.0 Firefox/120.0"",""platform"":""Linux aarch64"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1152,""screen_height"":720,""scroll_width"":980,""scroll_height"":584,""window_innerWidth"":980,""window_innerHeight"":528,""devicePixelRatio"":2.2222222222222223}",ID,html.Page,0,4,,form submission,6015.96,1848,1848.32,1859.04,7875,7880,2023-12-04T10:11:58.321Z,7875.58,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,145284,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,23474.42,7882,7849.6,7875.58,31350,31356,2023-12-04T10:12:21.798Z,31375.72,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,Chinees,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,11649.279999999999,31357,31335.96,31375.72,43025,43026,2023-12-04T10:12:33.468Z,43025.74,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,23,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,107954.26000000001,43027,43002.64,43025.74,150980,150986,2023-12-04T10:14:21.428Z,150992.44,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,36890.56,150988,150954.08,150992.44,187883,187885,2023-12-04T10:14:58.326Z,187892.34,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,de eenden,鸭子,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,30690.660000000003,187886,187861.98,187892.34,218583,218584,2023-12-04T10:15:29.026Z,218592.32,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,175557.26,43027,43002.64,43025.74,218583,218585,2023-12-04T10:15:29.027Z,218592.32,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1995.679999999993,218586,218575.66,218592.32,220588,220589,2023-12-04T10:15:31.030Z,220592.36,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,32239.640000000014,220590,220571.82,220592.36,252832,252837,2023-12-04T10:16:03.278Z,252842.42,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,visser,钓鱼,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,1528.5799999999872,252839,252802,252842.42,254371,254373,2023-12-04T10:16:04.814Z,254375.74,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,35778.67999999999,218585,218575.66,218592.32,254371,254376,2023-12-04T10:16:04.818Z,254375.74,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,20403.26000000001,254379,254353.42,254375.74,274779,274781,2023-12-04T10:16:25.222Z,274775.72,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,22893.280000000028,274782,274761.76,274775.72,297669,297670,2023-12-04T10:16:48.111Z,297675.74,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,5788.260000000009,297670,297659.06,297675.74,303464,303465,2023-12-04T10:16:53.906Z,303475.7,TnLUY1CRin,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,DJQ,,,,,,,,,,,,,,,,,,,,,,,,
