meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://www.open-lab.online/test/klassikaal_3/656da5e2fa275e2b7bdef754"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""nl"",""locale"":""nl-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1272,""scroll_height"":598,""window_innerWidth"":1272,""window_innerHeight"":598,""devicePixelRatio"":1.5}",ID,html.Page,0,4,,form submission,3455.67,1659.9000000953674,1613.366,1663.33,5119,5120.700000047684,2023-12-04T10:12:00.344Z,5127.252,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,535424,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,13881.148000095367,5121.700000047684,5110.675,5127.252,19008.400000095367,19009,2023-12-04T10:12:14.232Z,19015.773,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,5836.226999999999,19009.400000095367,18999.279,19015.773,24852,24852.60000014305,2023-12-04T10:12:20.075Z,24860.957,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,116112.043,24852.900000095367,24844.635,24860.957,140973,140973.60000014305,2023-12-04T10:14:16.197Z,140982.138,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,15987.562000047677,140973.90000009537,140965.689,140982.138,156969.70000004768,156970.40000009537,2023-12-04T10:14:32.193Z,157002.426,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,de twee eenden,de twee eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,60506.47400009536,156970.70000004768,156985.624,157002.426,217508.90000009537,217509.5,2023-12-04T10:15:32.732Z,217519.214,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,192647.94300009537,24852.800000190735,24844.635,24860.957,217508.90000009537,217514.5,2023-12-04T10:15:32.737Z,217519.214,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1733.2859999999928,217514.90000009537,217502.609,217519.214,219252.5,219253,2023-12-04T10:15:34.476Z,219267.678,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,10203.02200004767,219253.30000019073,219251.466,219267.678,229470.70000004768,229471.5,2023-12-04T10:15:44.694Z,229476.019,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,een vislijn,een vislijn,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,36637.88100009537,229471.90000009537,229459.587,229476.019,266113.90000009537,266114.7000000477,2023-12-04T10:16:21.338Z,266129.464,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,48594.68600009536,217514.80000019073,217502.609,217519.214,266113.90000009537,266115.2000000477,2023-12-04T10:16:21.338Z,266129.464,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,3115.4360000953893,266115.60000014305,266112.956,266129.464,269244.90000009537,269245.5,2023-12-04T10:16:24.468Z,269259.909,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,13871.491000095382,269245.7000000477,269243.582,269259.909,283131.40000009537,283131.60000014305,2023-12-04T10:16:38.354Z,283148.918,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,het afdak met witte en rode strepen,afdak met witte en rode strepen,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,29615.28200004768,283131.60000014305,283131.814,283148.918,312764.2000000477,312764.7000000477,2023-12-04T10:17:07.988Z,312774.254,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,46634.736000047706,266115.5,266112.956,266129.464,312764.2000000477,312765.2000000477,2023-12-04T10:17:07.988Z,312774.254,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,927.7459999999846,312765.5,312757.543,312774.254,313702,313702.40000009537,2023-12-04T10:17:08.925Z,313706.643,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,9130.357000000018,313702.60000014305,313690.393,313706.643,322837,322837.60000014305,2023-12-04T10:17:18.061Z,322849.217,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,kettingzaag,kettingzaag,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,10144.782999999996,322838,322832.705,322849.217,332994,332994.40000009537,2023-12-04T10:17:28.217Z,333007.846,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,20219.745999999985,312765.40000009537,312757.543,312774.254,332994,332994.80000019073,2023-12-04T10:17:28.218Z,333007.846,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,33497.65399999998,332995.10000014305,332991.088,333007.846,366505.5,366506,2023-12-04T10:18:01.729Z,366513.354,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,10015.846000047692,366506.30000019073,366496.627,366513.354,376529.2000000477,376529.80000019073,2023-12-04T10:18:11.753Z,376538.397,X9gPDhXrJN,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,D,,,,,,,,,,,,,,,twee mannen die duwen,twee mannen die duwen,,,,,,,,
