meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5f2fa275e2b7bdef776"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""nl-NL"",""locale"":""nl-NL"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,3742,1500,1503,1506,5248,5347,2023-12-04T10:12:07.576Z,5380,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,229088,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,13540,5347,5357,5380,18920,18920,2023-12-04T10:12:21.150Z,18936,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,14551,18920,18927,18936,33487,33488,2023-12-04T10:12:35.717Z,33519,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,,,21,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,47445,33488,33503,33519,80964,80964,2023-12-04T10:13:23.195Z,80986,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,72000,80964,80970,80986,152986,152986,2023-12-04T10:14:35.131Z,153019,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,,,,,,Eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,1951,152986,153002,153019,154970,154970,2023-12-04T10:14:37.115Z,155002,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,121451,33488,33503,33519,154970,154972,2023-12-04T10:14:37.116Z,155002,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,53256,154972,154984,155002,208258,208258,2023-12-04T10:15:30.403Z,208284,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,20531,208258,208267,208284,228815,228816,2023-12-04T10:15:50.961Z,228834,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,,,,,,,,hengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,31637.99999999997,228816,228820,228834,260471.99999999997,260473,2023-12-04T10:16:22.619Z,260500,YVEyUVLjMe,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Stan,,,,,,,,,,,,,,,,,,,,,,,,
