meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5f6fa275e2b7bdef786"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1470,""screen_height"":956,""scroll_width"":1470,""scroll_height"":755,""window_innerWidth"":1470,""window_innerHeight"":803,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,3343.7469999046325,1969.7999997138977,1932.021,1965.353,5309.099999904633,5310,2023-12-04T10:12:11.915Z,5315.219,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,321805,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,19179.38099990463,5310.299999713898,5298.553,5315.219,24494.599999904633,24495.299999713898,2023-12-04T10:12:31.100Z,24498.699,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,5107.900999904632,24495.699999809265,24482.033,24498.699,29606.599999904633,29606.799999713898,2023-12-04T10:12:36.212Z,29615.161,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,100061.6389997139,29607.099999904633,29598.495,29615.161,129676.7999997139,129677.19999980927,2023-12-04T10:14:16.281Z,129681.873,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,15861.326999809258,129677.40000009537,129665.207,129681.873,145543.19999980927,145543.5,2023-12-04T10:14:32.147Z,145548.282,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,,,,,,Twee Eenden,Twee Eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,58529.11800009536,145543.69999980927,145531.616,145548.282,204077.40000009537,204077.7999997139,2023-12-04T10:15:30.681Z,204081.664,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,174462.23900009537,29607,29598.495,29615.161,204077.40000009537,204080.69999980927,2023-12-04T10:15:30.684Z,204081.664,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,642.5359998092754,204080.90000009537,204064.998,204081.664,204724.19999980927,204724.69999980927,2023-12-04T10:15:31.328Z,204731.638,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,12435.161999713891,204724.7999997139,204714.972,204731.638,217166.7999997139,217167.5,2023-12-04T10:15:43.770Z,217181.52,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,,,,,,,,De man moet vissen,De man moet vissen,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,38519.679999809276,217167.7999997139,217164.854,217181.52,255701.19999980927,255701.7999997139,2023-12-04T10:16:22.304Z,255714.857,bC3LdOTvrF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Camille,,,,,,,,,,,,,,,,,,,,,,,,
