meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565d2cbfa275e2b7bded242"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":563,""window_innerWidth"":1366,""window_innerHeight"":611,""devicePixelRatio"":1}",ID,html.Page,0,4,,form submission,16069.715,3883.5,3774.779,3891.285,19961,19961.79999999999,2023-12-04T10:12:30.254Z,19976.533,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,153973,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,17551.067000000006,19962.29999999999,19942.261,19976.533,37527.600000000006,37528,2023-12-04T10:12:47.820Z,37541.144,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9352.356,37528.29999999999,37524.632,37541.144,46893.5,46894,2023-12-04T10:12:57.181Z,46898.47,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,81497.02999999997,46894.29999999999,46881.375,46898.47,128395.49999999997,128395.99999999997,2023-12-04T10:14:18.689Z,128400.696,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,8455.203999999998,128396.19999999998,128384.13,128400.696,136855.9,136856.49999999997,2023-12-04T10:14:27.150Z,136859.015,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,43263.285,136856.9,136842.344,136859.015,180122.30000000002,180122.80000000002,2023-12-04T10:15:10.416Z,180132.645,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,133223.83000000002,46894.29999999999,46881.375,46898.47,180122.30000000002,180126.69999999998,2023-12-04T10:15:10.420Z,180132.645,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,23301.955000000016,180127.19999999998,180116.029,180132.645,203434.6,203435.1,2023-12-04T10:15:33.727Z,203442.758,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,8739.44199999998,203435.30000000002,203426.235,203442.758,212182.19999999998,212182.80000000002,2023-12-04T10:15:42.475Z,212184.05,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,vishengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,22222.649999999994,212182.99999999997,212167.361,212184.05,234406.69999999998,234407.19999999998,2023-12-04T10:16:04.699Z,234411.837,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
