meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5fefa275e2b7bdef79f"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":691,""window_innerWidth"":1536,""window_innerHeight"":739,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,2878.401,2393.2000000476837,2252.354,2385.599,5264,5264.200000047684,2023-12-04T10:13:06.548Z,5266.288,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,610648,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,11385.012000071525,5264.300000071526,5249.159,5266.288,16651.300000071526,16651.400000095367,2023-12-04T10:13:17.935Z,16655.895,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,"Nederlands, Engels, Frans",MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,4706.905000071525,16651.5,16639.294,16655.895,21362.800000071526,21362.900000095367,2023-12-04T10:13:22.646Z,21368.221,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,21,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,55638.87900002384,21363,21351.429,21368.221,77007.10000002384,77007.30000007153,2023-12-04T10:14:18.291Z,77017.515,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,6612.285000071526,77007.40000009537,77001.15,77017.515,83629.80000007153,83630,2023-12-04T10:14:24.913Z,83644.826,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,De twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,68369.07400009537,83630.10000002384,83628.341,83644.826,152013.90000009537,152014.10000002384,2023-12-04T10:15:33.294Z,152015.805,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,130645.67900009536,21363,21351.429,21368.221,152013.90000009537,152015.20000004768,2023-12-04T10:15:33.295Z,152015.805,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1452.2950000238488,152015.30000007153,151999.6,152015.805,153468.10000002384,153468.30000007153,2023-12-04T10:15:34.748Z,153481.143,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,11627.657000071515,153468.40000009537,153464.579,153481.143,165108.80000007153,165109,2023-12-04T10:15:46.389Z,165137.167,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,Vishengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,39431.23300009538,165109,165120.516,165137.167,204568.40000009537,204568.80000007153,2023-12-04T10:16:25.849Z,204584.53,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,52552.595000095374,152015.30000007153,151999.6,152015.805,204568.40000009537,204568.90000009537,2023-12-04T10:16:25.849Z,204584.53,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1313.2700000715267,204569.10000002384,204568.023,204584.53,205897.80000007153,205898,2023-12-04T10:16:27.178Z,205899.974,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,3929.1260000238544,205898.10000002384,205883.35,205899.974,209829.10000002384,209829.30000007153,2023-12-04T10:16:31.109Z,209850.552,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,Rood-witte luifel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,7181.2480000715295,209829.30000007153,209812.504,209850.552,217031.80000007153,217032.10000002384,2023-12-04T10:16:38.315Z,217039.808,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,12447.270000071527,204568.90000009537,204568.023,204584.53,217031.80000007153,217032.30000007153,2023-12-04T10:16:38.315Z,217039.808,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,35136.09200009538,217032.40000009537,217024.682,217039.808,252175.90000009537,252176.10000002384,2023-12-04T10:17:13.459Z,252191.111,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,6256.189000071521,252176.10000002384,252174.385,252191.111,258447.30000007153,258447.5,2023-12-04T10:17:19.730Z,258452.021,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,Kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,4613.079000023834,258447.5,258435.575,258452.021,263065.10000002384,263065.3000000715,2023-12-04T10:17:24.348Z,263081.494,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,46025.29200002385,217032.40000009537,217024.682,217039.808,263065.10000002384,263065.40000009537,2023-12-04T10:17:24.348Z,263081.494,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,46025.505999999994,263065.5,263064.637,263081.494,309107,309107.3000000715,2023-12-04T10:18:10.387Z,309122.615,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,3396.7850000953767,309107.3000000715,309105.942,309122.615,312519.40000009537,312519.60000002384,2023-12-04T10:18:13.799Z,312544.497,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,Twee mannen,,,,,,,,,
,answer,html.Page,7_2,,,form submission,50814.30300007155,312519.7000000477,312503.156,312544.497,363358.8000000715,363359,2023-12-04T10:19:04.639Z,363373.046,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,100277.30600007152,263065.40000009537,263064.637,263081.494,363358.8000000715,363359.10000002384,2023-12-04T10:19:04.639Z,363373.046,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,886.2540000715526,363359.2000000477,363356.502,363373.046,364259.3000000715,364259.40000009537,2023-12-04T10:19:05.539Z,364272.217,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,4864.4830000476795,364259.60000002384,364255.627,364272.217,369136.7000000477,369136.90000009537,2023-12-04T10:19:10.414Z,369151.091,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,Rode strik van beer,,,,,,,
,answer,html.Page,8_2,,,form submission,54664.20900007151,369137,369134.972,369151.091,423815.3000000715,423815.40000009537,2023-12-04T10:20:05.092Z,423818.067,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,60442.25400007155,363359.2000000477,363356.502,363373.046,423815.3000000715,423815.60000002384,2023-12-04T10:20:05.093Z,423818.067,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,962.3330000953865,423815.7000000477,423801.187,423818.067,424780.40000009537,424780.60000002384,2023-12-04T10:20:06.058Z,424783.69,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,3539.6100000715232,424780.60000002384,424767.112,424783.69,428323.3000000715,428323.5,2023-12-04T10:20:09.604Z,428330.451,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,Man is niet in paniek,,,,,
,answer,html.Page,9_2,,,form submission,39886.549,428323.60000002384,428313.827,428330.451,468217,468217.2000000477,2023-12-04T10:20:49.497Z,468227.383,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,44398.93300000002,423815.7000000477,423801.187,423818.067,468217,468217.3000000715,2023-12-04T10:20:49.498Z,468227.383,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,2098.417000071553,468217.40000009537,468210.728,468227.383,470325.8000000715,470325.8000000715,2023-12-04T10:20:51.606Z,470347.173,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,9280.127000071516,470326,470309.212,470347.173,479627.3000000715,479627.5,2023-12-04T10:21:00.908Z,479633.646,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,Kind op fiets met zijwielen,,,
,answer,html.Page,10_2,,,form submission,52051.85399999999,479627.60000002384,479616.944,479633.646,531685.5,531685.7000000477,2023-12-04T10:21:52.969Z,531708.29,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,park1,flow.Sequence,10,,,completion,63458.11700000003,468217.3000000715,468210.728,468227.383,531685.5,531685.8000000715,2023-12-04T10:21:52.969Z,531708.29,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,11_0,,,form submission,1876.0100000714883,531685.9000000954,531669.614,531708.29,533584.3000000715,533584.4000000954,2023-12-04T10:21:54.868Z,533605.629,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,,
,park2-image,html.Page,11_1,,,form submission,9518.571000047727,533584.6000000238,533567.687,533605.629,543124.2000000477,543124.4000000954,2023-12-04T10:22:04.408Z,543125.766,cJdeE96-T_,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,yehre,,,,,,,,,,,,,,,,,,,,,,,Geen bak met witte bloemen,
