meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5cffa275e2b7bdef747"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1"",""platform"":""iPhone"",""language"":""nl-NL"",""locale"":""nl-NL"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":390,""screen_height"":844,""scroll_width"":980,""scroll_height"":1913,""window_innerWidth"":980,""window_innerHeight"":1669,""devicePixelRatio"":3}",ID,html.Page,0,4,,form submission,28185,2131,2136,2144,30329,30330.000000000004,2023-12-04T10:11:57.636Z,30352,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,820382,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,12033,30331,30335,30352,42385,42385,2023-12-04T10:12:09.691Z,42407,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,Nederlands & Engels,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,10429,42386,42390,42407,52836,52837,2023-12-04T10:12:20.142Z,52875,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,,,23,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,124096,52837,52850,52875,176971,176972,2023-12-04T10:14:24.277Z,176996,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,15327,176972,176978,176996,192323,192323,2023-12-04T10:14:39.629Z,192347,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,,,,,,Nog een bank,Nog een bank,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,16508.00000000003,192323,192326,192347,208855.00000000003,208855.00000000003,2023-12-04T10:14:56.161Z,208880,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,155980.00000000003,52837,52850,52875,208855.00000000003,208856,2023-12-04T10:14:56.162Z,208880,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,35660,208857,208859,208880,244540,244540,2023-12-04T10:15:31.846Z,244631,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,13634,244541,244545,244631,258265,258265,2023-12-04T10:15:45.571Z,258287,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,,,,,,,,Vislijn,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,10799,258265,258268,258287,269086,269086,2023-12-04T10:15:56.392Z,269113,kcZRTBW4vK,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fien,,,,,,,,,,,,,,,,,,,,,,,,
