meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5eefa275e2b7bdef768"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-BE"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":699,""window_innerWidth"":1536,""window_innerHeight"":747,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,5436.413999904633,4016.7999999523163,3844.05,4060.186,9496.599999904633,9497.699999809265,2023-12-04T10:12:06.287Z,9516.536,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,813602,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,31612.063999904633,9498.199999809265,9483.335,9516.536,41128.59999990463,41129.199999809265,2023-12-04T10:12:37.918Z,41156.933,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,"Nederlands, Italiaans, Engels",MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7999.666999904635,41129.5,41123.537,41156.933,49156.59999990463,49157.299999952316,2023-12-04T10:12:45.946Z,49175.034,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,23,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,87096.76599995232,49160.59999990463,49158.348,49175.034,136271.79999995232,136272.29999995232,2023-12-04T10:14:13.055Z,136476.764,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,34877.33599990464,136272.5,136277.271,136476.764,171354.09999990463,171354.59999990463,2023-12-04T10:14:48.137Z,171360.903,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,Eenden,eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,43841.19699990464,171354.79999995232,171344.79,171360.903,215202.09999990463,215202.5,2023-12-04T10:15:31.991Z,215228.134,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,166027.06599990465,49160.39999985695,49158.348,49175.034,215202.09999990463,215210.79999995232,2023-12-04T10:15:31.999Z,215228.134,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1419.265999856958,215211.09999990463,215194.884,215228.134,216647.39999985695,216648,2023-12-04T10:15:33.436Z,216891.595,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,12345.304999856948,216648.19999980927,216642.131,216891.595,229236.89999985695,229237.89999985695,2023-12-04T10:15:46.026Z,229251.96,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,vishengel,vishengel,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,15146.239999809273,229238.19999980927,229234.948,229251.96,244398.19999980927,244398.79999995232,2023-12-04T10:16:01.187Z,244439.526,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,29170.065999809274,215211.09999990463,215194.884,215228.134,244398.19999980927,244399.09999990463,2023-12-04T10:16:01.188Z,244439.526,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,18539.673999809253,244399.39999985695,244389.89,244439.526,262979.19999980927,262979.69999980927,2023-12-04T10:16:19.768Z,263303.921,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,15240.278999809292,262979.89999985695,262971.592,263303.921,278544.19999980927,278544.69999980927,2023-12-04T10:16:35.332Z,278558.746,mzPO2mgYzD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Marco,,,,,,,,,,,de luifel,de luifel,,,,,,,,,,,,
