meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5defa275e2b7bdef74d"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5.2 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""nl-NL"",""locale"":""nl-NL"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,3489,1549,1566,1598,5087,5087,2023-12-04T10:11:47.080Z,5116,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,926521,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,6688,5088,5098,5116,11804,11804,2023-12-04T10:11:53.796Z,11832,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6391,11804,11816,11832,18223,18223,2023-12-04T10:12:00.215Z,18249,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,141179,18223,18233,18249,159428,159429,2023-12-04T10:14:21.416Z,159489,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,30755,159429,159437,159489,190244,190244,2023-12-04T10:14:52.229Z,190271,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,Eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,8070,190244,190254,190271,198341,198342,2023-12-04T10:15:00.327Z,198371,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,180092,18223,18233,18249,198341,198342,2023-12-04T10:15:00.327Z,198371,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,25238,198342,198355,198371,223609,223609,2023-12-04T10:15:25.594Z,223666,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,16194,223609,223622,223666,239860,239860,2023-12-04T10:15:41.844Z,239889,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,vissen,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,8124,239860,239872,239889,248013,248013,2023-12-04T10:15:49.997Z,248039,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,49642,198342,198355,198371,248013,248013,2023-12-04T10:15:49.997Z,248039,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,34774,248013,248023,248039,282813,282814,2023-12-04T10:16:24.796Z,282840,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,7642,282814,282824,282840,290482,290482,2023-12-04T10:16:32.464Z,290507,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,Luifel met witte en rode strepen,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,5240,290483,290491,290507,295747,295747,2023-12-04T10:16:37.729Z,295774,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,47708,248013,248023,248039,295747,295747,2023-12-04T10:16:37.729Z,295774,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,32307,295747,295757,295774,328081,328082,2023-12-04T10:17:10.062Z,328168,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,4916,328082,328092,328168,333084,333085,2023-12-04T10:17:15.065Z,333108,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,Kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,5875,333085,333092,333108,338983,338983,2023-12-04T10:17:20.964Z,339009,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,43209,295747,295757,295774,338983,338983,2023-12-04T10:17:20.964Z,339009,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,43076,338983,338992,339009,382085,382085,2023-12-04T10:18:04.064Z,382112,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,10338,382085,382092,382112,392450,392450,2023-12-04T10:18:14.428Z,392477,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,twee mannen die de auto duwen,,,,,,,,,
,answer,html.Page,7_2,,,form submission,5674,392450,392460,392477,398151,398151,2023-12-04T10:18:20.129Z,398177,pYOxNKSFrZ,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Mira,,,,,,,,,,,,,,,,,,,,,,,,
