meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5dbfa275e2b7bdef74b"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":691,""window_innerWidth"":1536,""window_innerHeight"":739,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,3912.011999976158,1547,1497.898,1547.888,5459.899999976158,5460.599999904633,2023-12-04T10:11:46.099Z,5463.326,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,834303,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,11207.373999928473,5461,5446.665,5463.326,16670.699999928474,16671.099999904633,2023-12-04T10:11:57.309Z,16676.113,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,20114.086999928473,16671.399999976158,16659.451,16676.113,36790.199999928474,36790.699999928474,2023-12-04T10:12:17.429Z,36802.624,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,21,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,117945.97599990462,36791,36785.966,36802.624,154748.59999990463,154749,2023-12-04T10:14:15.385Z,154757.82,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,5520.279999904626,154749.09999990463,154741.157,154757.82,160278.09999990463,160278.5,2023-12-04T10:14:20.915Z,160277.332,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,2 eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,70458.86799992848,160278.69999992847,160260.678,160277.332,230736.19999992847,230736.59999990463,2023-12-04T10:15:31.367Z,230752.438,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,193933.57599992846,36790.89999997616,36785.966,36802.624,230736.19999992847,230739.59999990463,2023-12-04T10:15:31.370Z,230752.438,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1420.0620000000054,230739.79999995232,230735.782,230752.438,232172.5,232172.79999995232,2023-12-04T10:15:32.804Z,232188.471,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,5085.52900000001,232173,232170.109,232188.471,237274,237274.39999997616,2023-12-04T10:15:37.905Z,237284.381,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,vishengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,19485.31899992848,237274.69999992847,237267.725,237284.381,256769.69999992847,256770.19999992847,2023-12-04T10:15:57.401Z,256770.392,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,26017.26199992848,230739.79999995232,230735.782,230752.438,256769.69999992847,256770.59999990463,2023-12-04T10:15:57.401Z,256770.392,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,30523.007999976166,256770.79999995232,256753.726,256770.392,287293.39999997616,287293.6999999285,2023-12-04T10:16:27.925Z,287296.698,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,4125.701999976183,287293.7999999523,287280.04,287296.698,291422.39999997616,291422.6999999285,2023-12-04T10:16:32.057Z,291433.017,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,luifel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,12443.983000000007,291423,291416.352,291433.017,303877,303877.39999997616,2023-12-04T10:16:44.512Z,303877.58,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,47106.60800000001,256770.59999990463,256753.726,256770.392,303877,303877.59999990463,2023-12-04T10:16:44.512Z,303877.58,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,29213.019999904616,303877.6999999285,303860.922,303877.58,333090.59999990463,333090.89999997616,2023-12-04T10:17:13.726Z,333102.295,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,5473.705000000016,333091.09999990463,333085.634,333102.295,338576,338576.1999999285,2023-12-04T10:17:19.211Z,338583.752,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,kettingzaag,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,6536.947999928496,338576.5,338567.091,338583.752,345120.6999999285,345121.09999990463,2023-12-04T10:17:25.756Z,345136.75,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,41243.11999992846,303877.59999990463,303860.922,303877.58,345120.6999999285,345121.2999999523,2023-12-04T10:17:25.756Z,345136.75,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,39662.25,345121.39999997616,345118.396,345136.75,384799,384799.39999997616,2023-12-04T10:18:05.433Z,384815.097,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,4089.0029999046237,384799.5,384798.437,384815.097,388904.09999990463,388904.39999997616,2023-12-04T10:18:09.538Z,388916.641,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,mannen die duwen,,,,,,,,,
,answer,html.Page,7_2,,,form submission,25996.158999952313,388904.59999990463,388899.92,388916.641,414912.7999999523,414913.2999999523,2023-12-04T10:18:35.547Z,414918.142,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,69776.04999995232,345121.39999997616,345118.396,345136.75,414912.7999999523,414913.5,2023-12-04T10:18:35.547Z,414918.142,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,25521.557999928482,414913.6999999285,414901.477,414918.142,440439.6999999285,440440,2023-12-04T10:19:01.074Z,440448.832,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,4387.467999952321,440440.09999990463,440432.178,440448.832,444836.2999999523,444836.6999999285,2023-12-04T10:19:05.471Z,444847.717,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,grote rode strik,,,,,,,
,answer,html.Page,8_2,,,form submission,74315.88299990463,444836.89999997616,444830.769,444847.717,519163.59999990463,519163.89999997616,2023-12-04T10:20:19.801Z,519174.432,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,104245.45799990464,414913.59999990463,414901.477,414918.142,519163.59999990463,519164.09999990463,2023-12-04T10:20:19.802Z,519174.432,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,1052.3679999523447,519164.2999999523,519157.778,519174.432,520226.7999999523,520227.09999990463,2023-12-04T10:20:20.865Z,520229.056,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,2228.5439999046503,520227.2999999523,520212.396,520229.056,522457.59999990463,522457.7999999523,2023-12-04T10:20:23.095Z,522458.42,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,9_2,,,form submission,7311.979999976174,522457.89999997616,522441.762,522458.42,529770.3999999762,529770.7999999523,2023-12-04T10:20:30.408Z,529777.68,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,10595.967999976187,519164.1999999285,519157.778,519174.432,529770.3999999762,529771,2023-12-04T10:20:30.408Z,529777.68,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,18835.41999990458,529771.0999999046,529761.019,529777.68,548613.0999999046,548613.5999999046,2023-12-04T10:20:49.251Z,548620.08,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,2416.719999952358,548613.7999999523,548603.43,548620.08,551036.7999999523,551037.0999999046,2023-12-04T10:20:51.675Z,551044.996,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,fiets,,,
,answer,html.Page,10_2,,,form submission,7732.303999952273,551037.2999999523,551028.326,551044.996,558777.2999999523,558777.5999999046,2023-12-04T10:20:59.415Z,558781.363,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,park1,flow.Sequence,10,,,completion,28999.619999952265,529771.0999999046,529761.019,529777.68,558777.2999999523,558777.7999999523,2023-12-04T10:20:59.415Z,558781.363,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,11_0,,,form submission,47233.936999952304,558778,558764.703,558781.363,606015.2999999523,606015.6999999285,2023-12-04T10:21:46.654Z,606026.236,sAmJb0BV9v,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Jelle,,,,,,,,,,,,,,,,,,,,,,,,
