meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656da5ecfa275e2b7bdef766"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""nl-NL"",""locale"":""nl"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":647,""window_innerWidth"":1536,""window_innerHeight"":695,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,4493.197000095368,1758.7000000476837,1685.051,1751.703,6244.900000095367,6246,2023-12-04T10:12:03.888Z,6249.856,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,533559,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,50421.04400009537,6246.700000047684,6237.058,6249.856,56670.90000009537,56671.60000014305,2023-12-04T10:12:54.309Z,56677.534,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6432.166000047684,56672.299999952316,56660.881,56677.534,63109.700000047684,63109.90000009537,2023-12-04T10:13:00.747Z,63124.559,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,22,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,79456.74099995231,63110.10000014305,63108.174,63124.559,142581.29999995232,142581.90000009537,2023-12-04T10:14:20.224Z,142589.548,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,10724.552000143041,142582.29999995232,142572.784,142589.548,153314.10000014305,153314.5,2023-12-04T10:14:30.956Z,153318.005,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,twee eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,3226.5950001430465,153314.60000014305,153301.335,153318.005,156544.60000014305,156545.20000004768,2023-12-04T10:14:34.187Z,156550.005,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,93420.04100014304,63110.10000014305,63108.174,63124.559,156544.60000014305,156550.60000014305,2023-12-04T10:14:34.192Z,156550.005,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,58679.89500009536,156551,156533.205,156550.005,215229.90000009537,215230.40000009537,2023-12-04T10:15:32.873Z,215240.636,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,5743.564000047685,215230.70000004768,215224.21,215240.636,220984.20000004768,220984.5,2023-12-04T10:15:38.627Z,220988.094,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,vishengel,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,47014.60600004767,220984.70000004768,220971.366,220988.094,268002.7000000477,268003.2999999523,2023-12-04T10:16:25.646Z,268017.22,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,111452.69500004768,156550.90000009537,156533.205,156550.005,268002.7000000477,268003.7000000477,2023-12-04T10:16:25.646Z,268017.22,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,988.4800000477117,268004,268001.183,268017.22,269005.7000000477,269006,2023-12-04T10:16:26.648Z,269016.828,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,3773.971999952337,269006.10000014305,269000.596,269016.828,272790.7999999523,272791.2999999523,2023-12-04T10:16:30.434Z,272798.535,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,luifel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,42607.26499995234,272791.5,272781.75,272798.535,315405.7999999523,315406.7000000477,2023-12-04T10:17:13.049Z,315413.034,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,47388.579999952344,268003.90000009537,268001.183,268017.22,315405.7999999523,315407.2999999523,2023-12-04T10:17:13.049Z,315413.034,uuU8WsLVJT,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Sofie,,,,,,,,,,,,,,,,,,,,,,,,
