meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656861eafa275e2b7bdee30c"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":693,""window_innerWidth"":1440,""window_innerHeight"":741,""devicePixelRatio"":2}",ID,html.Page,0,3,,form submission,2808.000000000001,3791,3809,3840,6648.000000000001,6648.000000000001,2023-11-30T10:20:32.915Z,6699,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,847608,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,23386,6649,6665,6699,30085,30085,2023-11-30T10:20:56.352Z,30124,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,"Frans, Nederlands",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8855,30086.000000000004,30095,30124,38979,38979,2023-11-30T10:21:05.246Z,39053,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,107398,38980.00000000001,39017,39053,146451,146451,2023-11-30T10:22:52.721Z,146500,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,18593,146451,146464,146500,165093,165094,2023-11-30T10:23:11.365Z,165137,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,de twee eenden,de twee eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,44386,165095,165104,165137,209523,209524,2023-11-30T10:23:55.795Z,209574,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,170470,38980.00000000001,39017,39053,209523,209524,2023-11-30T10:23:55.796Z,209574,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,753,209525,209541,209574,210327,210327,2023-11-30T10:23:56.599Z,210369,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,18907,210328,210335,210369,229276,229277.00000000003,2023-11-30T10:24:15.549Z,229320,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,visser,visser,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,34618,229277.00000000003,229285,229320,263938,263938,2023-11-30T10:24:50.211Z,264000,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,54364,209525,209541,209574,263938,263938,2023-11-30T10:24:50.211Z,264000,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1015,263938,263966,264000,265015,265015,2023-11-30T10:24:51.288Z,265057,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,68228,265015,265022,265057,333285,333285,2023-11-30T10:25:59.560Z,333338,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,de luifel,de luifel,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,48637,333285,333306,333338,381975,381975,2023-11-30T10:26:48.251Z,382035,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,117975,263938,263966,264000,381975,381976,2023-11-30T10:26:48.252Z,382035,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,1314,381976,382000,382035,383349,383349,2023-11-30T10:26:49.625Z,383429,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,10352,383350,383369,383429,393781,393781,2023-11-30T10:27:00.058Z,393840,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,de kettingzaag,de kettingzaag,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,24327.00000000006,393782,393808,393840,418167.00000000006,418168,2023-11-30T10:27:24.445Z,418213,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,36132.00000000006,381976,382000,382035,418167.00000000006,418168,2023-11-30T10:27:24.445Z,418213,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,18473.00000000006,418168,418180,418213,436686.00000000006,436687,2023-11-30T10:27:42.964Z,436749,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,16330,436687,436695,436749,453079,453079,2023-11-30T10:27:59.357Z,453130,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,de twee mannen die de auto duwen,de twee mannen die de auto duwen,,,,,,,,
,answer,html.Page,7_2,,,form submission,24198.00000000006,453080,453097,453130,477328.00000000006,477328.00000000006,2023-11-30T10:28:23.606Z,477374,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,59115.00000000006,418168,418180,418213,477328.00000000006,477328.00000000006,2023-11-30T10:28:23.607Z,477374,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,20571,477328.00000000006,477340,477374,497945,497945,2023-11-30T10:28:44.224Z,498025,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,14307.999999999942,497945,497957,498025,512332.99999999994,512332.99999999994,2023-11-30T10:28:58.612Z,512374,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,de rode strik,de rode strik,,,,,,
,answer,html.Page,8_2,,,form submission,43218,512334.00000000006,512341,512374,555592,555592,2023-11-30T10:29:41.849Z,555625,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,78218,477328.00000000006,477340,477374,555592,555592,2023-11-30T10:29:41.850Z,555625,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,839,555592,555597,555625,556464,556464,2023-11-30T10:29:42.722Z,556536,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,32081,556464,556472,556536,588617,588617,2023-11-30T10:30:14.872Z,588675,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,de man is niet in paniek,de man is niet in paniek,,,,
,answer,html.Page,9_2,,,form submission,11332.000000000116,588618,588642,588675,600007.0000000001,600007.0000000001,2023-11-30T10:30:26.262Z,600054,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,44382.00000000012,555592,555597,555625,600007.0000000001,600008,2023-11-30T10:30:26.262Z,600054,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,14017,600008,600019,600054,614071,614071,2023-11-30T10:30:40.326Z,614126,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,10657,614071,614079,614126,624783,624786,2023-11-30T10:30:51.041Z,624816,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,het kind op de fiets,het kind op de fiets,,
,answer,html.Page,10_2,,,form submission,48313,624786,624797,624816,673129,673129,2023-11-30T10:31:39.385Z,673165,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,park1,flow.Sequence,10,,,completion,73075,600008,600019,600054,673129,673130,2023-11-30T10:31:39.386Z,673165,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,11_0,,,form submission,1337.0000000001164,673130,673134,673165,674502.0000000001,674502.0000000001,2023-11-30T10:31:40.759Z,674592,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,park2-image,html.Page,11_1,,,form submission,14597,674503,674522,674592,689189,689189,2023-11-30T10:31:55.446Z,689228,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,de bak met witte bloemen,de bak met witte bloemen
,answer,html.Page,11_2,,,form submission,16111,689190,689196,689228,705339,705339,2023-11-30T10:32:11.596Z,705385,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,park2,flow.Sequence,11,,,completion,32174,673130,673134,673165,705339,705339,2023-11-30T10:32:11.596Z,705385,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,bedankt,html.Page,12,,,timeout,2983,705339,705350,705385,708335,708335,2023-11-30T10:32:14.592Z,708368,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
,root,flow.Sequence,,,,completion,704495,3791,3809,3840,708335,708335,2023-11-30T10:32:14.592Z,708368,FRXgi0m5yb,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Norah,,,,,,,,,,,,,,,,,,,,,,,,
