meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656861ebfa275e2b7bdee310"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":664,""window_innerWidth"":1536,""window_innerHeight"":712,""devicePixelRatio"":1.25}",ID,html.Page,0,3,,form submission,4520.66,2316,2316.1,2322.34,6843,6843,2023-11-30T10:20:33.569Z,6837.6,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,568097,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,39293.4,6844,6836.6,6837.6,46131,46133,2023-11-30T10:21:12.858Z,46140.86,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9308.14,46133,46126.78,46140.86,55449,55450,2023-11-30T10:21:22.176Z,55454.5,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,92853.5,55450,55447.02,55454.5,148308,148308,2023-11-30T10:22:55.034Z,148306.2,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,38579.79999999999,148308,148306.04,148306.2,186886,186886,2023-11-30T10:23:33.612Z,186893.06,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,,,,,,Eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,24194.940000000002,186887,186884.86,186893.06,211088,211088,2023-11-30T10:23:57.814Z,211101.56,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,155633.5,55450,55447.02,55454.5,211088,211089,2023-11-30T10:23:57.814Z,211101.56,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1666.4400000000023,211089,211086.1,211101.56,212768,212768,2023-11-30T10:23:59.494Z,212767.68,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,39271.32000000001,212768,212766.28,212767.68,252039,252039,2023-11-30T10:24:38.764Z,252037.62,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,,,,,,,,voetbal,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3339.3800000000047,252039,252036.36,252037.62,255377,255377,2023-11-30T10:24:42.103Z,255386.64,IcVCQ0ePl1,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Florine,,,,,,,,,,,,,,,,,,,,,,,,
