meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656861e8fa275e2b7bdee30a"",""userAgent"":""Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"",""platform"":""Linux x86_64"",""language"":""fr"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":788,""window_innerWidth"":1920,""window_innerHeight"":836,""devicePixelRatio"":1}",ID,html.Page,0,3,,form submission,3290.68,3015,3014.94,3018.32,6309,6310,2023-11-30T10:20:31.030Z,6318.44,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,626330,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,34985.56,6310,6304.58,6318.44,41304,41308,2023-11-30T10:21:06.029Z,41299.12,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8346.879999999997,41309,41298.2,41299.12,49646,49647,2023-11-30T10:21:14.367Z,49649.28,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,,,20,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,103271.72,49647,49643.84,49649.28,152921,152923,2023-11-30T10:22:57.644Z,152917.4,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,24480.600000000006,152924,152916.64,152917.4,177398,177398,2023-11-30T10:23:22.119Z,177401.14,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,,,,,,Eendjes,Des canards,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,10741.859999999986,177399,177394.18,177401.14,188143,188143,2023-11-30T10:23:32.864Z,188151.28,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,138493.72,49647,49643.84,49649.28,188143,188144,2023-11-30T10:23:32.864Z,188151.28,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,23910.72,188144,188140.44,188151.28,212062,212063,2023-11-30T10:23:56.782Z,212068.36,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,38472.640000000014,212063,212059.7,212068.36,250541,250542,2023-11-30T10:24:35.261Z,250552.3,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,,,,,,,,visengel,canne à pêche,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,2099.7000000000116,250542,250539.52,250552.3,252652,252652,2023-11-30T10:24:37.372Z,252652.58,Iy3luRKd3z,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Antonin,,,,,,,,,,,,,,,,,,,,,,,,
