meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656861ebfa275e2b7bdee30e"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""nl-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1528,""scroll_height"":660,""window_innerWidth"":1528,""window_innerHeight"":708,""devicePixelRatio"":1.25}",ID,html.Page,0,3,,form submission,4038.3869999940393,4018.4000000059605,3964.685,4014.713,8053.0999999940395,8053.300000011921,2023-11-30T10:20:33.949Z,8065.049,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,782721,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,30459.35100000596,8053.5,8048.25,8065.049,38524.40000000596,38524.69999998808,2023-11-30T10:21:04.420Z,38533.49,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,Frans; Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,11596.709999988081,38524.69999998808,38516.783,38533.49,50130.19999998808,50130.40000000596,2023-11-30T10:21:16.026Z,50133.938,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,,,20,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,98314.86200001193,50130.5,50117.475,50133.938,148448.80000001192,148449.09999999404,2023-11-30T10:22:54.345Z,148456.205,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,19311.994999988092,148449.09999999404,148439.608,148456.205,167768.19999998808,167768.40000000596,2023-11-30T10:23:13.664Z,167774.166,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,,,,,,De twee eenden,les deux canards,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,51986.23400000596,167768.59999999404,167757.318,167774.166,219760.40000000596,219760.69999998808,2023-11-30T10:24:05.656Z,219784.243,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,169626.46200000597,50130.40000000596,50117.475,50133.938,219760.40000000596,219761.90000000596,2023-11-30T10:24:05.657Z,219784.243,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1824.9569999880914,219761.90000000596,219743.718,219784.243,221609.19999998808,221609.40000000596,2023-11-30T10:24:07.505Z,221610.334,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,6993.566000005958,221609.5,221594.011,221610.334,228603.90000000596,228604.09999999404,2023-11-30T10:24:14.500Z,228610.927,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,,,,,,,,kraampje,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,18369.373000011925,228604.30000001192,228594.239,228610.927,246980.30000001192,246980.69999998808,2023-11-30T10:24:32.876Z,246995.325,W4kLFsIdCB,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Martin,,,,,,,,,,,,,,,,,,,,,,,,
