meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/656861e6fa275e2b7bdee308"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-fr"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",ID,html.Page,0,3,,form submission,4235,1700,1723,1749,5984,5985,2023-11-30T10:20:28.151Z,6007,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,816452,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,42312,5985,5989,6007,48319,48319,2023-11-30T10:21:10.486Z,48341,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,"Frans ",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9169,48320,48324,48341,57510,57511,2023-11-30T10:21:19.677Z,57541,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,95110,57511,57523,57541,152651,152652.00000000003,2023-11-30T10:22:54.818Z,152694,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,28177,152652.00000000003,152658,152694,180871,180871,2023-11-30T10:23:23.037Z,180892,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,,,,,,de eenden,les canards,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,38844.00000000003,180871,180876,180892,219736.00000000003,219736.00000000003,2023-11-30T10:24:01.902Z,219758,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,162195.00000000003,57511,57523,57541,219736.00000000003,219737,2023-11-30T10:24:01.903Z,219758,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1714,219737,219743,219758,221472,221472,2023-11-30T10:24:03.638Z,221515,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,29651,221472,221477,221515,251166,251166,2023-11-30T10:24:33.332Z,251192,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,,,,,,,,,la cane à pêche,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3723,251166,251176,251192,254915,254916,2023-11-30T10:24:37.082Z,254943,fKeCvQNBOU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eva,,,,,,,,,,,,,,,,,,,,,,,,
