meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6567373afa275e2b7bdedd87"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":820,""screen_height"":1180,""scroll_width"":1180,""scroll_height"":729,""window_innerWidth"":1180,""window_innerHeight"":713,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,3219.9999999999995,838,839,843,4062.9999999999995,4064,2023-11-30T15:17:51.046Z,4077,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,521911,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,13853,4065.0000000000005,4069,4077,17930,17931,2023-11-30T15:18:04.912Z,17943,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,6480,17931,17936,17943,24423,24424,2023-11-30T15:18:11.405Z,24442,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,240945,24424,24427,24442,265387,265388.00000000006,2023-11-30T15:22:12.367Z,265443,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,29478,265389,265391,265443,294921,294922,2023-11-30T15:22:41.900Z,294941,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,2 en,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,21858.00000000006,294922,294922,294941,316799.00000000006,316799.00000000006,2023-11-30T15:23:03.777Z,316823,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,292357.00000000006,24424,24427,24442,316799.00000000006,316800,2023-11-30T15:23:03.778Z,316823,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,22000,316801,316803,316823,338823,338823,2023-11-30T15:23:25.801Z,338871,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,57641,338823,338827,338871,396512,396512,2023-11-30T15:24:23.489Z,396550,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,Een man aan het vissen,"De quoi pêcher ",,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,2411,396512,396534,396550,398961,398962,2023-11-30T15:24:25.939Z,398984,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,82138,316800,316803,316823,398961,398962,2023-11-30T15:24:25.939Z,398984,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,20110,398962,398964,398984,419094,419095,2023-11-30T15:24:46.072Z,419199,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,25650,419095,419098,419199,444849,444850,2023-11-30T15:25:11.827Z,444881,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,Bier winkel,Magasin pour acheter des bières,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,1868,444850,444864,444881,446749,446749,2023-11-30T15:25:13.726Z,446764,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,47765,398962,398964,398984,446749,446749,2023-11-30T15:25:13.726Z,446764,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,23683,446750,446752,446764,470447,470448.00000000006,2023-11-30T15:25:37.424Z,470512,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,15396,470448.00000000006,470451,470512,485908,485908,2023-11-30T15:25:52.884Z,485928,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,/,/,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,4420,485908,485910,485928,490348,490349,2023-11-30T15:25:57.325Z,490361,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,43584,446750,446752,446764,490348,490349,2023-11-30T15:25:57.325Z,490361,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,41843.00000000012,490349,490352,490361,532204.0000000001,532204.0000000001,2023-11-30T15:26:39.180Z,532242,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,19395,532205,532208,532242,551637,551638,2023-11-30T15:26:58.613Z,551657,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,2 mannen,2 hommes en train de pousser la voiture,,,,,,,,
,answer,html.Page,7_2,,,form submission,4427.000000000116,551638,551640,551657,556084.0000000001,556085,2023-11-30T15:27:03.060Z,556107,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,65723.00000000012,490349,490352,490361,556084.0000000001,556085,2023-11-30T15:27:03.060Z,556107,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,34749,556085,556087,556107,590856,590856,2023-11-30T15:27:37.831Z,590888,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,29091,590857,590860,590888,619979,619979,2023-11-30T15:28:06.954Z,620019,D-HE8Kor18,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Clara,,,,,,,,,,,,,,,,,Rode stript op de beer,Un noeud rouge sur un des deux ours,,,,,,
