meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/65673785fa275e2b7bdedda3"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":834,""screen_height"":1194,""scroll_width"":1194,""scroll_height"":743,""window_innerWidth"":1194,""window_innerHeight"":727,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,15315,866,868,877,16192,16192,2023-11-30T15:18:59.488Z,16200,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,640737,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,24641,16193.000000000002,16195,16200,40841,40842,2023-11-30T15:19:24.138Z,40860,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,Frans,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7256,40842,40845,40860,48116,48117.00000000001,2023-11-30T15:19:31.412Z,48129,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,21,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,181858,48117.00000000001,48120,48129,229987,229987,2023-11-30T15:22:33.279Z,230036,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,40479,229987,229990,230036,270515,270516,2023-11-30T15:23:13.807Z,270530,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,"Twee Eenden ","Deux canards ",,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,35631,270516,270517,270530,306161,306161,2023-11-30T15:23:49.452Z,306184,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,258032,48117.00000000001,48120,48129,306161,306162.00000000006,2023-11-30T15:23:49.453Z,306184,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1659,306162.00000000006,306164,306184,307843,307843,2023-11-30T15:23:51.134Z,307901,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,24855,307844,307846,307901,332756,332757,2023-11-30T15:24:16.047Z,332773,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,"Canne à pêche ",,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,29776.00000000006,332757,332759,332773,362549.00000000006,362549.00000000006,2023-11-30T15:24:45.839Z,362573,HIt17IGZ84,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lisa,,,,,,,,,,,,,,,,,,,,,,,,
