meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a7cafa275e2b7bdee486"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":820,""screen_height"":1180,""scroll_width"":1180,""scroll_height"":729,""window_innerWidth"":1180,""window_innerHeight"":659,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,2571,1421,1422,1431,4002,4003,2023-11-30T15:22:33.236Z,4014,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,398461,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,5660,4003,4008,4014,9674,9674,2023-11-30T15:22:38.907Z,9685,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,4455,9675,9680,9685,14140,14141,2023-11-30T15:22:43.374Z,14149,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,1145,14142,14144,14149,15294,15295,2023-11-30T15:22:44.527Z,15370,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,32277,15295,15298,15370,47647,47648,2023-11-30T15:23:16.881Z,47665,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,,,,,,De eend,"Le canard ",,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,35492,47649,47659,47665,83157,83157,2023-11-30T15:23:52.389Z,83170,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,69008,14141,14144,14149,83157,83159,2023-11-30T15:23:52.391Z,83170,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1036,83159,83161,83170,84206,84207.00000000001,2023-11-30T15:23:53.439Z,84291,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,24500,84207.00000000001,84210,84291,108791,108791,2023-11-30T15:24:18.023Z,108808,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,,,,,,,,,"La canne à pêche ",,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,6670.000000000015,108791,108803,108808,115478.00000000001,115478.00000000001,2023-11-30T15:24:24.710Z,115490,Nwcyr7xUwL,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lylou,,,,,,,,,,,,,,,,,,,,,,,,
