meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a78bfa275e2b7bdee466"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":663,""window_innerWidth"":1536,""window_innerHeight"":711,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,15187.72,2808,2808.38,2812.28,18000,18009,2023-11-30T15:17:50.052Z,18010.14,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,844436,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,19092.86,18009,17995.42,18010.14,37103,37103,2023-11-30T15:18:09.146Z,37107.6,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,14821.400000000001,37103,37101.14,37107.6,51929,51931,2023-11-30T15:18:23.974Z,51938.92,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,,,18,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,165417.08000000002,51932,51926.62,51938.92,217356,217358,2023-11-30T15:21:09.400Z,217366.14,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,133278.86,217359,217352.5,217366.14,350645,350646,2023-11-30T15:23:22.689Z,350647.9,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,,,,,,eende,canard,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,2539.0999999999767,350646,350643.64,350647.9,353187,353188,2023-11-30T15:23:25.231Z,353197.58,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,301248.08,51932,51926.62,51938.92,353187,353188,2023-11-30T15:23:25.232Z,353197.58,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,2266.4199999999837,353189,353185.22,353197.58,355464,355464,2023-11-30T15:23:27.507Z,355463.94,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,61480.06,355464,355461.78,355463.94,416944,416944,2023-11-30T15:24:28.987Z,416955.5,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,1195.5,416944,416941.88,416955.5,418151,418152,2023-11-30T15:24:30.195Z,418155.34,Pl2TNMlNag,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,George,,,,,,,,,,,,,,,,,,,,,,,,
