meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a78afa275e2b7bdee464"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1232,""scroll_height"":598,""window_innerWidth"":1232,""window_innerHeight"":598,""devicePixelRatio"":1.5}",ID,html.Page,0,4,,form submission,6134.399000023842,2616.899999976158,2572.219,2622.201,8756.600000023842,8756.899999976158,2023-11-30T15:17:40.137Z,8772.372,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,552901,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,48692.22800002384,8757.100000023842,8738.772,8772.372,57464.60000002384,57465,2023-11-30T15:18:28.845Z,57471.472,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,Frans (moedertaal) en Nederlands van de onthaalklas tot het einde van het 3de midellbaar,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7907.327999952315,57465.10000002384,57454.648,57471.472,65378.799999952316,65379.10000002384,2023-11-30T15:18:36.759Z,65387.989,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,193852.21099992847,65379.299999952316,65371.15,65387.989,259240.19999992847,259240.89999997616,2023-11-30T15:21:50.621Z,259267.85,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,26874.149999999994,259241,259251.142,259267.85,286142,286142.1999999285,2023-11-30T15:22:17.522Z,286150.739,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,,,,,,eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,69652.86100002384,286142.2999999523,286134.045,286150.739,355803.60000002384,355804,2023-11-30T15:23:27.184Z,355816.138,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,290415.61100002384,65379.299999952316,65371.15,65387.989,355803.60000002384,355805.60000002384,2023-11-30T15:23:27.185Z,355816.138,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,2200.862000000023,355805.6999999285,355799.519,355816.138,358017,358017.2999999523,2023-11-30T15:23:29.397Z,358033.03,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,39006.66999992845,358017.39999997616,358016.391,358033.03,397039.6999999285,397040,2023-11-30T15:24:08.420Z,397049.716,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,38737.38400002383,397040.10000002384,397032.247,397049.716,435787.10000002384,435787.39999997616,2023-11-30T15:24:47.167Z,435798.124,RDhqemqv0i,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,PK,,,,,,,,,,,,,,,,,,,,,,,,
