meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a831fa275e2b7bdee49f"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":683,""window_innerWidth"":1536,""window_innerHeight"":731,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,7140.6,1774,1774.28,1781.4,8922,8924,2023-11-30T15:20:25.260Z,8929.06,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,291933,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,25778.940000000002,8925,8913.3,8929.06,34708,34708,2023-11-30T15:20:51.044Z,34720.46,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,"frans en nederlands ",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,8591.54,34708,34703.98,34720.46,43312,43312,2023-11-30T15:20:59.649Z,43317.36,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,96923.64,43313,43309.5,43317.36,140241,140242,2023-11-30T15:22:36.579Z,140251.34,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,35650.66,140243,140237.32,140251.34,175902,175902,2023-11-30T15:23:12.239Z,175905.92,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,,,,,,"de eenden ","les canards ",,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,31393.079999999987,175902,175899.04,175905.92,207299,207300,2023-11-30T15:23:43.637Z,207311.92,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,163981.64,43313,43309.5,43317.36,207299,207300,2023-11-30T15:23:43.637Z,207311.92,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,2767.079999999987,207301,207296.38,207311.92,210079,210080,2023-11-30T15:23:46.416Z,210094.32,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,58289.67999999999,210080,210075.96,210094.32,268384,268384,2023-11-30T15:24:44.721Z,268391.32,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3203.679999999993,268384,268381.78,268391.32,271595,271596,2023-11-30T15:24:47.933Z,271606.98,TaP4lhANXH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lola,,,,,,,,,,,,,,,,,,,,,,,,
