meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a76bfa275e2b7bdee458"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":1024,""scroll_width"":1528,""scroll_height"":854,""window_innerWidth"":1528,""window_innerHeight"":902,""devicePixelRatio"":1}",ID,html.Page,0,4,,form submission,3445.093,2062,2005.467,2055.407,5500.5,5501.100000023842,2023-11-30T15:17:06.013Z,5515.979,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,200730,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,25410.42099997616,5501.399999976158,5493.633,5515.979,30926.399999976158,30927,2023-11-30T15:17:31.439Z,30927.465,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,15879.834999952316,30927.399999976158,30924.358,30927.465,46807.299999952316,46807.799999952316,2023-11-30T15:17:47.320Z,46825.314,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,,,18,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,286691.2860000238,46808.10000002384,46790.406,46825.314,333516.60000002384,333517.10000002384,2023-11-30T15:22:34.030Z,333533.205,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,46306.19499997614,333517.2999999523,333514.755,333533.205,379839.39999997616,379839.89999997616,2023-11-30T15:23:20.352Z,379861.972,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,,,,,,De eend,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,2630.3279999523074,379840.10000002384,379822.679,379861.972,382492.2999999523,382492.7999999523,2023-11-30T15:23:23.005Z,382502.241,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,335666.9859999523,46808.10000002384,46790.406,46825.314,382492.2999999523,382496.10000002384,2023-11-30T15:23:23.009Z,382502.241,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,28355.959000047704,382496.39999997616,382484.213,382502.241,410858.2000000477,410858.60000002384,2023-11-30T15:23:51.371Z,410863.884,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,23502.915999952296,410858.89999997616,410845.039,410863.884,434366.7999999523,434367.2000000477,2023-11-30T15:24:14.880Z,434377.988,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,,,,,,,,,"canne à pêche ",,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,43787.51199999999,434367.5,434349.262,434377.988,478165.5,478165.7000000477,2023-11-30T15:24:58.678Z,478172.377,_97MtJifl6,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Héloïse,,,,,,,,,,,,,,,,,,,,,,,,
