meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a78bfa275e2b7bdee468"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1232,""scroll_height"":598,""window_innerWidth"":1232,""window_innerHeight"":598,""devicePixelRatio"":1.5}",ID,html.Page,0,4,,form submission,4587.177000047684,2328.7000000476837,2262.4,2329.023,6916.200000047684,6916.799999952316,2023-11-30T15:17:38.501Z,6928.431,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,158424,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,36815.069,6917.100000143051,6911.977,6928.431,43743.5,43744,2023-11-30T15:18:15.328Z,43757.091,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,Het Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,22244.50900014305,43744.299999952316,43740.407,43757.091,66001.60000014305,66001.79999995232,2023-11-30T15:18:37.586Z,66005.682,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,19,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,14928.718000095367,66002.10000014305,65987.776,66005.682,80934.40000009537,80934.70000004768,2023-11-30T15:18:52.519Z,80935.622,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,275293.4780001431,80934.79999995232,80919.31,80935.622,356229.10000014305,356229.7000000477,2023-11-30T15:23:27.814Z,356233.751,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,een eende,un  canard,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,2214.149000095378,356230,356226.988,356233.751,358447.90000009537,358448.2000000477,2023-11-30T15:23:30.032Z,358450.156,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,292442.21800009534,66002,65987.776,66005.682,358447.90000009537,358451.7000000477,2023-11-30T15:23:30.036Z,358450.156,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,2487.8439999999828,358451.90000009537,358433.13,358450.156,360938,360938.2999999523,2023-11-30T15:23:32.522Z,360949.9,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,58219.80000004766,360938.5,360932.725,360949.9,419169.7000000477,419170.10000014305,2023-11-30T15:24:30.754Z,419175.707,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3373.0929999523214,419170.2999999523,419161.33,419175.707,422548.7999999523,422549.10000014305,2023-11-30T15:24:34.133Z,422558.944,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,64098.6439999523,358451.90000009537,358433.13,358450.156,422548.7999999523,422549.2999999523,2023-11-30T15:24:34.133Z,422558.944,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,1435.1560001430335,422549.5,422537.129,422558.944,423994.10000014305,423994.40000009537,2023-11-30T15:24:35.578Z,424008.576,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,45070.924,423994.5,423986.999,424008.576,469079.5,469080,2023-11-30T15:25:20.664Z,469086.002,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,er zijn geen strepen op het cafe,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,1476.3980000953889,469080.2000000477,469074.024,469086.002,470562.40000009537,470562.7000000477,2023-11-30T15:25:22.147Z,470569.296,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,48003.45600009535,422549.5,422537.129,422558.944,470562.40000009537,470563.2000000477,2023-11-30T15:25:22.147Z,470569.296,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,2108.0039999523433,470563.40000009537,470551.92,470569.296,472677.2999999523,472677.60000014305,2023-11-30T15:25:24.261Z,472685.542,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,37210.85800009535,472677.7999999523,472669.851,472685.542,509896.40000009537,509896.7999999523,2023-11-30T15:26:01.481Z,509897.437,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,de man heeft geen kettingzak,l'homme n'a pas de boite à outils,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,6624.86299995234,509897,509880.333,509897.437,516522.2999999523,516522.60000014305,2023-11-30T15:26:08.106Z,516529.918,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,45953.00399995234,470563.40000009537,470551.92,470569.296,516522.2999999523,516522.90000009537,2023-11-30T15:26:08.107Z,516529.918,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,12272.881999952311,516523.10000014305,516514.032,516529.918,528802.7999999523,528803,2023-11-30T15:26:20.387Z,528811.734,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,68643.366000143,528803.2000000477,528794.806,528811.734,597455.100000143,597455.5,2023-11-30T15:27:29.039Z,597469.683,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,er is alleen maar één man naast de auto en er zit een hond erin,il n'y a qu'un seul homme près de la voiture en il y a un chien à l'intétieur,,,,,,,,
,answer,html.Page,7_2,,,form submission,1634.2170000954065,597455.600000143,597439.879,597469.683,599103.9000000954,599104.100000143,2023-11-30T15:27:30.688Z,599119.362,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,82573.98200009536,516523,516514.032,516529.918,599103.9000000954,599104.2999999523,2023-11-30T15:27:30.688Z,599119.362,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,1400.2380001430865,599104.5,599100.81,599119.362,600519.600000143,600519.7999999523,2023-11-30T15:27:32.104Z,600535.86,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,34019.3400000477,600519.9000000954,600518.918,600535.86,634555.2000000477,634555.7000000477,2023-11-30T15:28:06.140Z,634564.833,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,er staat alleen maar één persoon,il n'y a qu'une personne,,,,,,
,answer,html.Page,8_2,,,form submission,4823.466999952332,634556,634548.116,634564.833,639388.2999999523,639388.7999999523,2023-11-30T15:28:10.973Z,639397.823,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,40268.93799995235,599104.5,599100.81,599119.362,639388.2999999523,639389,2023-11-30T15:28:10.973Z,639397.823,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,5404.377000047709,639389.100000143,639381.655,639397.823,644802.2000000477,644802.4000000954,2023-11-30T15:28:16.386Z,644813.586,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,53569.01400014304,644802.600000143,644800.034,644813.586,698382.600000143,698382.9000000954,2023-11-30T15:29:09.967Z,698390.174,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,9_2,,,form submission,3315.5260000476846,698382.9000000954,698372.284,698390.174,701705.7000000477,701706.2000000477,2023-11-30T15:29:13.290Z,701723.301,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,farm2,flow.Sequence,9,,,completion,62307.87700004771,639389.100000143,639381.655,639397.823,701705.7000000477,701706.600000143,2023-11-30T15:29:13.291Z,701723.301,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,10_0,,,form submission,19867.399000047706,701706.7999999523,701704.299,701723.301,721590.7000000477,721591,2023-11-30T15:29:33.175Z,721603.741,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,,,,
,park1-image,html.Page,10_1,,,form submission,38194.55899995228,721591.100000143,721586.961,721603.741,759798.2999999523,759798.7000000477,2023-11-30T15:30:11.378Z,759798.837,eHvWxyq-qF,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Michel,,,,,,,,,,,,,,,,,,,,,het kind fietst niet achter de moeder,l'enfant ne roule pas en vlo derrière sa mère,,
