meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a7a5fa275e2b7bdee476"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""fr-FR"",""locale"":""fr"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1197,""screen_height"":673,""scroll_width"":1198,""scroll_height"":558,""window_innerWidth"":1197,""window_innerHeight"":558,""devicePixelRatio"":1.6050000190734863}",ID,html.Page,0,4,,form submission,7940.4949999761575,2662.2000000476837,2558.266,2674.905,10615.399999976158,10616.200000047684,2023-11-30T15:18:08.949Z,10625.078,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,256104,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,21173.52200002384,10616.5,10608.547,10625.078,31798.600000023842,31798.800000071526,2023-11-30T15:18:30.131Z,31808.794,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,18594.206,31799,31793.288,31808.794,50403,50403.5,2023-11-30T15:18:48.736Z,50409.107,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,218254.99300002382,50403.800000071526,50392.714,50409.107,268664.10000002384,268664.5,2023-11-30T15:22:26.995Z,268679.635,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,34149.46500002383,268664.7000000477,268663.167,268679.635,302829.10000002384,302829.60000002384,2023-11-30T15:23:01.160Z,302830.237,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,,,,,,de twee eenden,les 2 canards,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,5782.662999976135,302829.8000000715,302813.66,302830.237,308612.89999997616,308613.3000000715,2023-11-30T15:23:06.944Z,308613.706,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,258203.79299997614,50403.700000047684,50392.714,50409.107,308612.89999997616,308616.8000000715,2023-11-30T15:23:06.948Z,308613.706,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,44938.894000023836,308617.10000002384,308597.035,308613.706,353552.60000002384,353553,2023-11-30T15:23:51.886Z,353564.462,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,12113.338000071526,353553.2000000477,353547.956,353564.462,365677.8000000715,365678.10000002384,2023-11-30T15:24:04.011Z,365681.698,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,,,,,,,,de man aan het vissen,l'homme qui pêche,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,43956.00200004771,365678.2000000477,365664.829,365681.698,409637.7000000477,409638.2000000477,2023-11-30T15:24:47.971Z,409648.937,goWtYpDDkU,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Eline,,,,,,,,,,,,,,,,,,,,,,,,
