meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a81cfa275e2b7bdee49a"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1488,""scroll_height"":694,""window_innerWidth"":1488,""window_innerHeight"":742,""devicePixelRatio"":1.25}",ID,html.Page,0,4,,form submission,6744.850000011921,1467.800000011921,1425.642,1458.95,8203.800000011921,8204.399999976158,2023-11-30T15:20:05.927Z,8211.549,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,985464,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,18071.951,8204.800000011921,8194.798,8211.549,26283.5,26283.899999976158,2023-11-30T15:20:24.007Z,26284.934,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,Frans en Engels,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,9228.965999976157,26284.100000023842,26268.631,26284.934,35513.89999997616,35514.30000001192,2023-11-30T15:20:33.245Z,35521.931,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,19,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,122802.36900001192,35514.5,35505.53,35521.931,158324.30000001192,158324.60000002384,2023-11-30T15:22:36.055Z,158335.636,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,37357.864,158324.69999998808,158319.121,158335.636,195693.5,195693.80000001192,2023-11-30T15:23:13.424Z,195699.848,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,"de eende ",le canard,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,33176.45200001192,195693.89999997616,195683.437,195699.848,228876.30000001192,228876.5,2023-11-30T15:23:46.607Z,228879.305,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,193354.36900001194,35514.5,35505.53,35521.931,228876.30000001192,228879.19999998808,2023-11-30T15:23:46.610Z,228879.305,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,8363.894999988086,228879.39999997616,228862.639,228879.305,237243.19999998808,237243.5,2023-11-30T15:23:54.974Z,237249.165,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,14594.935000023834,237243.60000002384,237232.472,237249.165,251844.10000002384,251844.30000001192,2023-11-30T15:24:09.575Z,251854.683,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,man is aan het vissen,canne à peche,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,39151.21699997617,251844.5,251838.265,251854.683,291005.89999997616,291006.3000000119,2023-11-30T15:24:48.737Z,291019.865,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,62126.594999976165,228879.30000001192,228862.639,228879.305,291005.89999997616,291006.5,2023-11-30T15:24:48.737Z,291019.865,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,10394.735000023851,291006.6999999881,291003.29,291019.865,301414.60000002384,301414.89999997616,2023-11-30T15:24:59.145Z,301424.385,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,16469.215000023833,301415,301407.63,301424.385,317893.60000002384,317893.8000000119,2023-11-30T15:25:15.624Z,317896.673,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,twee rode streepen,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,4897.32699999999,317894,317880.372,317896.673,322794,322794.3000000119,2023-11-30T15:25:20.525Z,322798.596,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,31774.13500000001,291006.60000002384,291003.29,291019.865,322794,322794.60000002384,2023-11-30T15:25:20.525Z,322798.596,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,36840.00400002382,322795.39999997616,322781.947,322798.596,359638.60000002384,359638.8000000119,2023-11-30T15:25:57.369Z,359646.135,iscL5PpdhD,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Zaligheid,,,,,,,,,,,,,,,,,,,,,,,,
