meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a7a9fa275e2b7bdee478"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":800,""window_innerWidth"":1440,""window_innerHeight"":848,""devicePixelRatio"":2}",ID,html.Page,0,4,,form submission,8113,1154,1159,1186,9299,9299,2023-11-30T15:18:10.892Z,9319,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,794297,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,25021,9300,9306,9319,34340,34341,2023-11-30T15:18:35.933Z,34369,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,Frans en Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,13452,34341,34349,34369,47821,47822,2023-11-30T15:18:49.414Z,47836,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,216902,47822,47827,47836,264738,264739.00000000006,2023-11-30T15:22:26.331Z,264786,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,32605,264739.00000000006,264746,264786,297391,297391,2023-11-30T15:22:58.983Z,297403,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,,,,,,de eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,13333,297391,297392,297403,310736,310736,2023-11-30T15:23:12.328Z,310753,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,262900,47822,47827,47836,310736,310737,2023-11-30T15:23:12.329Z,310753,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,42339,310738,310742,310753,353092,353093,2023-11-30T15:23:54.685Z,353153,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,10994,353093,353100,353153,364147,364147,2023-11-30T15:24:05.739Z,364170,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,,,,,,,,De man is niet aan het vissen,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,21052,364147,364149,364170,385222,385222,2023-11-30T15:24:26.814Z,385236,ktXjqMeP6L,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Alix,,,,,,,,,,,,,,,,,,,,,,,,
