meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6568a7c4fa275e2b7bdee482"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1232,""scroll_height"":598,""window_innerWidth"":1232,""window_innerHeight"":598,""devicePixelRatio"":1.5}",ID,html.Page,0,4,,form submission,5274.6379999761575,3997.699999988079,3939.215,4005.762,9280.399999976158,9281.300000011921,2023-11-30T15:18:38.038Z,9321.959,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,544758,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,21925.740999988077,9281.599999964237,9288.53,9321.959,31247.69999998808,31248.399999976158,2023-11-30T15:19:00.005Z,31269.095,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,66914.50499996424,31248.80000001192,31235.728,31269.095,98183.59999996424,98184.19999998808,2023-11-30T15:20:06.941Z,98210.443,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,143182.057,98184.30000001192,98177.382,98210.443,241392.5,241393,2023-11-30T15:22:30.150Z,241415.351,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,35836.449000011926,241393.19999998808,241375.598,241415.351,277251.8000000119,277252.1999999881,2023-11-30T15:23:06.009Z,277287.918,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,5723.382000011916,277252.5,277254.329,277287.918,283011.3000000119,283011.8000000119,2023-11-30T15:23:11.768Z,283036.961,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,184800.85700001192,98184.30000001192,98177.382,98210.443,283011.3000000119,283015.5,2023-11-30T15:23:11.772Z,283036.961,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,33002.13899996423,283015.6999999881,283003.6,283036.961,316039.09999996424,316039.59999996424,2023-11-30T15:23:44.796Z,316066.076,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,45831.32399997616,316040.09999996424,316032.948,316066.076,361897.39999997616,361897.6999999881,2023-11-30T15:24:30.654Z,361927.096,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,17711.003999964218,361897.89999997616,361893.859,361927.096,379638.09999996424,379638.6999999881,2023-11-30T15:24:48.395Z,379658.158,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,96601.13899996423,283015.6999999881,283003.6,283036.961,379638.09999996424,379639.3000000119,2023-11-30T15:24:48.396Z,379658.158,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,12775.441999964241,379639.39999997616,379624.62,379658.158,392433.59999996424,392434.09999996424,2023-11-30T15:25:01.191Z,392456.334,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,6396.365999988106,392434.39999997616,392423.282,392456.334,398852.6999999881,398853.3000000119,2023-11-30T15:25:07.610Z,398872.132,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,een winkel,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,32118.868000000017,398853.59999996424,398838.866,398872.132,430991,430991.59999996424,2023-11-30T15:25:39.748Z,431018.069,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,51332.842000000004,379639.39999997616,379624.62,379658.158,430991,430992,2023-11-30T15:25:39.749Z,431018.069,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,3389.8309999761404,430992.1999999881,430984.699,431018.069,434407.89999997616,434408.5,2023-11-30T15:25:43.165Z,434434.261,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,27444.239,434408.6999999881,434401.186,434434.261,461878.5,461879,2023-11-30T15:26:10.633Z,461897.427,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,twee dieren,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,33635.572999999975,461879.3000000119,461864.445,461897.427,495533,495533.1999999881,2023-11-30T15:26:44.287Z,495560.145,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,64514.93099999998,430992.09999996424,430984.699,431018.069,495533,495533.59999996424,2023-11-30T15:26:44.288Z,495560.145,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,611.1550000119023,495533.89999997616,495526.687,495560.145,496171.3000000119,496171.8000000119,2023-11-30T15:26:44.926Z,496193.109,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,29937.29099997616,496172,496160.097,496193.109,526130.3999999762,526130.8999999762,2023-11-30T15:27:14.888Z,526172.585,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,7_2,,,form submission,22958.014999964274,526131.0999999642,526139.429,526172.585,549130.5999999642,549131.3000000119,2023-11-30T15:27:37.888Z,549153.035,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,53570.45499996422,495533.8000000119,495526.687,495560.145,549130.5999999642,549131.5,2023-11-30T15:27:37.888Z,549153.035,rF291QqelI,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Deborah,,,,,,,,,,,,,,,,,,,,,,,,
